Time	Velocity
0.2872	0.59
1.3201	0.58
2.2986	0.59
3.3314	0.58
4.3100	0.59
5.3429	0.58
6.3214	0.58
7.3543	0.58
8.3328	0.58
9.3657	0.58
10.3441	0.58
11.3770	0.58
12.3556	0.58
13.3885	0.58
14.3670	0.58
15.3999	0.58
16.3783	0.58
17.4113	0.58
18.3897	0.58
19.4226	0.58
20.4010	0.58
21.4340	0.58
22.4123	0.58
23.4454	0.58
24.4237	0.58
25.4567	0.58
26.4351	0.58
27.4682	0.58
28.4464	0.58
29.4795	0.58
30.4578	0.58
31.4909	0.58
32.4691	0.58
33.5023	0.58
34.4804	0.58
35.5136	0.58
36.4918	0.58
37.5250	0.58
38.5032	0.58
39.5363	0.58
40.5145	0.58
41.5477	0.58
42.5259	0.58
43.5590	0.58
44.5372	0.58
45.5704	0.57
46.5484	0.58
47.5817	0.57
48.5598	0.57
49.5931	0.57
50.5711	0.57
51.6044	0.57
52.5824	0.57
53.6158	0.57
54.5937	0.57
55.6270	0.57
56.6051	0.57
57.6384	0.57
58.6163	0.57
59.6496	0.57
60.6276	0.57
61.6610	0.57
62.6389	0.57
63.6723	0.57
