Time	Velocity
0.4318	0.59
1.4068	0.59
2.4292	0.59
3.4040	0.59
4.4264	0.59
5.4013	0.59
6.4239	0.59
7.3987	0.59
8.4213	0.59
9.3959	0.59
10.4185	0.59
11.3932	0.59
12.4158	0.59
13.3905	0.59
14.4132	0.59
15.3879	0.59
16.4104	0.59
17.3851	0.59
18.4078	0.59
19.3824	0.59
20.4051	0.59
21.3797	0.59
22.4024	0.59
23.3770	0.59
24.3996	0.59
25.3743	0.59
26.3969	0.59
27.3716	0.59
28.3942	0.59
29.3687	0.59
30.3915	0.59
31.3660	0.59
32.3889	0.58
33.3633	0.58
34.3861	0.58
35.3606	0.58
36.3835	0.58
37.3580	0.58
38.3807	0.58
39.3552	0.58
40.3781	0.58
41.3525	0.58
42.3753	0.58
43.3497	0.58
44.3726	0.58
45.3470	0.58
46.3700	0.58
47.3444	0.58
48.3672	0.58
49.3416	0.58
50.3645	0.58
51.3389	0.58
52.3618	0.58
53.3361	0.58
54.3591	0.58
55.3333	0.58
56.3564	0.58
57.3307	0.58
58.3537	0.58
59.3279	0.58
60.3509	0.58
61.3251	0.58
62.3482	0.58
63.3224	0.58
64.3455	0.58
65.3196	0.58
66.3427	0.58
67.3169	0.58
68.3400	0.58
69.3141	0.58
