Time	Velocity
0.2445	0.61
1.2162	0.61
2.2439	0.61
3.2156	0.61
4.2433	0.60
5.2150	0.61
6.2427	0.60
7.2144	0.60
8.2422	0.60
9.2138	0.60
10.2416	0.60
11.2132	0.60
12.2411	0.60
13.2126	0.60
14.2405	0.60
15.2121	0.60
16.2399	0.60
17.2114	0.60
18.2392	0.60
19.2109	0.60
20.2387	0.60
21.2102	0.60
22.2381	0.60
23.2096	0.60
24.2375	0.60
25.2090	0.60
26.2368	0.60
27.2083	0.60
28.2363	0.60
29.2077	0.60
30.2357	0.60
31.2071	0.60
32.2351	0.60
33.2065	0.60
34.2345	0.60
35.2059	0.60
36.2340	0.60
37.2054	0.60
38.2334	0.60
39.2048	0.60
40.2328	0.60
41.2041	0.60
42.2322	0.60
43.2035	0.60
44.2316	0.60
45.2029	0.60
46.2311	0.60
47.2024	0.60
48.2304	0.60
49.2016	0.60
50.2298	0.60
51.2011	0.60
52.2292	0.60
53.2004	0.60
54.2286	0.59
55.1998	0.59
56.2280	0.59
57.1992	0.59
58.2274	0.59
59.1985	0.59
60.2268	0.59
61.1979	0.59
62.2262	0.59
63.1973	0.59
