Time	Velocity
0.6708	0.62
1.6618	0.62
2.6859	0.62
3.6767	0.62
4.7009	0.62
5.6918	0.62
6.7158	0.62
7.7067	0.62
8.7309	0.62
9.7217	0.62
10.7458	0.62
11.7367	0.62
12.7608	0.62
13.7516	0.62
14.7758	0.62
15.7666	0.62
16.7908	0.62
17.7815	0.62
18.8058	0.62
19.7965	0.62
20.8207	0.62
21.8115	0.62
22.8357	0.62
23.8264	0.62
24.8507	0.62
25.8413	0.62
26.8656	0.62
27.8563	0.62
28.8806	0.62
29.8713	0.62
30.8956	0.62
31.8862	0.62
32.9106	0.62
33.9012	0.62
34.9256	0.62
35.9161	0.62
36.9405	0.61
37.9311	0.62
38.9554	0.61
39.9460	0.62
40.9704	0.61
41.9610	0.61
42.9854	0.61
43.9760	0.61
45.0004	0.61
45.9909	0.61
47.0153	0.61
48.0059	0.61
49.0303	0.61
50.0208	0.61
51.0452	0.61
52.0357	0.61
53.0602	0.61
54.0507	0.61
55.0751	0.61
56.0657	0.61
57.0901	0.61
58.0807	0.61
59.1051	0.61
60.0956	0.61
61.1200	0.61
62.1105	0.61
