Time	Velocity
0.6221	0.61
1.6504	0.61
2.6244	0.61
3.6527	0.61
4.6266	0.61
5.6550	0.61
6.6288	0.61
7.6572	0.61
8.6311	0.61
9.6595	0.61
10.6333	0.61
11.6617	0.61
12.6356	0.61
13.6640	0.61
14.6379	0.61
15.6662	0.61
16.6401	0.61
17.6685	0.61
18.6424	0.61
19.6708	0.61
20.6446	0.61
21.6730	0.60
22.6468	0.60
23.6753	0.60
24.6491	0.60
25.6776	0.60
26.6513	0.60
27.6798	0.60
28.6535	0.60
29.6821	0.60
30.6557	0.60
31.6843	0.60
32.6580	0.60
33.6866	0.60
34.6603	0.60
35.6889	0.60
36.6625	0.60
37.6912	0.60
38.6647	0.60
39.6934	0.60
40.6670	0.60
41.6956	0.60
42.6693	0.60
43.6979	0.60
44.6715	0.60
45.7001	0.60
46.6736	0.60
47.7024	0.60
48.6759	0.60
49.7046	0.60
50.6782	0.60
51.7069	0.60
52.6804	0.60
53.7091	0.60
54.6827	0.60
55.7114	0.60
56.6849	0.60
57.7137	0.60
58.6871	0.60
59.7158	0.60
60.6893	0.60
61.7181	0.60
62.6915	0.60
63.7203	0.60
64.6937	0.60
