Velocity In Gate, Ch 1, Run #5
Time ( s )	Velocity In Gate ( m/s )
0.4187	0.33
1.4319	0.33
2.4142	0.33
3.4274	0.33
4.4098	0.33
5.4230	0.33
6.4052	0.33
7.4184	0.33
8.4008	0.33
9.4139	0.33
10.3963	0.32
11.4095	0.32
12.3917	0.32
13.4050	0.32
14.3873	0.32
15.4005	0.32
16.3829	0.32
17.3961	0.32
18.3784	0.32
19.3916	0.32
20.3738	0.32
21.3871	0.32
22.3693	0.32
23.3826	0.32
24.3649	0.32
25.3781	0.32
26.3603	0.32
27.3737	0.32
28.3558	0.32
29.3691	0.32
30.3513	0.32
31.3646	0.32
32.3468	0.32
33.3602	0.32
34.3423	0.32
35.3557	0.32
36.3378	0.32
37.3512	0.32
38.3333	0.32
39.3468	0.32
40.3288	0.32
41.3423	0.32
42.3243	0.32
43.3377	0.32
44.3198	0.32
45.3333	0.32
46.3153	0.32
47.3288	0.32
48.3108	0.32
49.3243	0.32
50.3063	0.32
51.3197	0.32
52.3017	0.32
53.3153	0.32
54.2972	0.32
55.3108	0.32
56.2927	0.32
57.3063	0.32
58.2883	0.32
59.3018	0.32
60.2837	0.32
61.2973	0.32
62.2792	0.32
63.2929	0.32
