Time In Gate, Ch 1, Run #1
Time ( s )	Elapsed Time ( s )
0.8055	0.1533
1.7586	0.1532
2.8033	0.1532
3.7564	0.1533
4.8011	0.1534
5.7542	0.1537
6.7988	0.1537
7.7519	0.1539
8.7966	0.1539
9.7497	0.1538
10.7944	0.1538
11.7475	0.1538
12.7922	0.1538
13.7454	0.1539
14.7902	0.1539
15.7431	0.1541
16.7879	0.1541
17.7409	0.1542
18.7857	0.1542
19.7388	0.1543
20.7835	0.1542
21.7364	0.1543
22.7813	0.1542
23.7342	0.1544
24.7791	0.1544
25.7320	0.1545
26.7769	0.1545
27.7298	0.1546
28.7747	0.1546
29.7276	0.1547
30.7725	0.1547
31.7254	0.1546
32.7703	0.1547
33.7231	0.1548
34.7681	0.1548
35.7209	0.1550
36.7659	0.1549
37.7186	0.1551
38.7636	0.1551
39.7164	0.1551
40.7615	0.1551
41.7142	0.1552
42.7593	0.1552
43.7119	0.1553
44.7570	0.1553
45.7097	0.1554
46.7548	0.1553
47.7075	0.1556
48.7527	0.1555
49.7053	0.1555
50.7505	0.1556
51.7031	0.1557
52.7483	0.1556
53.7009	0.1557
54.7460	0.1557
55.6986	0.1558
56.7438	0.1559
57.6963	0.1559
58.7416	0.1559
59.6941	0.1560
60.7394	0.1561
61.6919	0.1561
62.7373	0.1561
63.6896	0.1562
64.7350	0.1562
65.6875	0.1563
66.7328	0.1562
67.6852	0.1564
68.7306	0.1564
69.6830	0.1565
70.7284	0.1565
71.6807	0.1566
72.7262	0.1566
73.6784	0.1567
74.7240	0.1567
75.6762	0.1568
76.7218	0.1568
77.6739	0.1569
78.7195	0.1569
79.6717	0.1570
80.7173	0.1570
81.6695	0.1571
82.7151	0.1572
83.6672	0.1572
84.7129	0.1572
85.6649	0.1573
86.7107	0.1573
87.6627	0.1574
88.7085	0.1574
89.6604	0.1575
90.7062	0.1575
91.6582	0.1576
92.7040	0.1576
93.6560	0.1577
94.7019	0.1577
95.6537	0.1578
96.6995	0.1578
97.6515	0.1579
98.6974	0.1579
99.6492	0.1580
100.6951	0.1580
101.6471	0.1581
102.6930	0.1581
103.6448	0.1581
104.6907	0.1582
105.6426	0.1583
106.6885	0.1582
107.6402	0.1583
108.6863	0.1583
109.6380	0.1584
110.6841	0.1585
111.6357	0.1586
112.6818	0.1586
113.6335	0.1587
114.6796	0.1587
115.6312	0.1587
116.6773	0.1587
117.6290	0.1588
118.6751	0.1588
119.6267	0.1588
120.6729	0.1589
121.6244	0.1590
122.6706	0.1590
123.6222	0.1592
124.6684	0.1591
125.6199	0.1592
126.6662	0.1591
127.6178	0.1593
128.6640	0.1592
129.6155	0.1593
130.6618	0.1594
131.6133	0.1594
132.6595	0.1594
133.6110	0.1595
134.6574	0.1595
135.6087	0.1595
136.6551	0.1595
137.6065	0.1596
138.6528	0.1596
139.6043	0.1597
140.6506	0.1597
141.6019	0.1597
142.6484	0.1598
143.5998	0.1599
144.6462	0.1599
145.5975	0.1599
146.6439	0.1599
147.5952	0.1600
148.6418	0.1601
149.5930	0.1601
150.6395	0.1601
151.5907	0.1602
152.6372	0.1603
153.5884	0.1603
154.6351	0.1603
155.5862	0.1604
156.6328	0.1604
157.5840	0.1605
158.6306	0.1604
159.5817	0.1606
160.6282	0.1605
161.5794	0.1606
162.6261	0.1606
163.5772	0.1607
164.6239	0.1608
165.5749	0.1608
166.6216	0.1608
167.5727	0.1609
168.6193	0.1609
169.5704	0.1610
170.6171	0.1610
171.5682	0.1611
172.6149	0.1611
173.5658	0.1612
174.6127	0.1611
175.5635	0.1612
176.6105	0.1613
177.5613	0.1613
178.6081	0.1613
179.5589	0.1615
180.6060	0.1615
181.5567	0.1616
182.6037	0.1616
183.5544	0.1616
184.6014	0.1617
185.5521	0.1618
186.5991	0.1618
187.5498	0.1619
188.5969	0.1620
189.5476	0.1620
190.5947	0.1619
191.5453	0.1621
192.5925	0.1621
193.5430	0.1622
194.5902	0.1623
195.5407	0.1624
196.5879	0.1624
197.5385	0.1625
198.5856	0.1624
199.5362	0.1625
200.5834	0.1626
201.5339	0.1626
202.5811	0.1627
203.5315	0.1627
204.5788	0.1627
205.5293	0.1628
206.5766	0.1628
207.5270	0.1629
208.5744	0.1629
209.5248	0.1629
210.5722	0.1629
211.5225	0.1631
212.5700	0.1631
213.5201	0.1632
214.5676	0.1632
215.5179	0.1633
216.5653	0.1633
217.5156	0.1634
218.5631	0.1634
219.5133	0.1636
220.5608	0.1635
221.5110	0.1636
222.5586	0.1636
223.5087	0.1637
224.5564	0.1637
225.5065	0.1638
226.5541	0.1639
227.5041	0.1639
228.5518	0.1639
229.5020	0.1639
230.5496	0.1640
231.4997	0.1641
232.5474	0.1641
233.4974	0.1642
234.5451	0.1642
235.4951	0.1643
236.5428	0.1644
237.4928	0.1644
238.5406	0.1644
239.4905	0.1644
240.5384	0.1644
241.4882	0.1646
242.5361	0.1646
243.4860	0.1647
244.5338	0.1646
