Velocity In Gate, Ch 1, Run #16
Time ( s )	Velocity In Gate ( m/s )
0.4362	0.79
1.4580	0.79
2.4442	0.79
3.4660	0.79
4.4522	0.79
5.4740	0.78
6.4603	0.78
7.4821	0.79
8.4681	0.78
9.4900	0.78
10.4761	0.78
11.4980	0.78
12.4841	0.78
13.5061	0.78
14.4920	0.78
15.5141	0.78
16.5001	0.78
17.5220	0.78
18.5080	0.78
19.5301	0.78
20.5160	0.78
21.5380	0.78
22.5240	0.78
23.5460	0.78
24.5320	0.78
25.5540	0.78
26.5400	0.78
27.5620	0.78
28.5480	0.78
29.5700	0.78
30.5559	0.78
31.5780	0.78
32.5639	0.78
33.5859	0.78
34.5718	0.77
35.5939	0.77
36.5798	0.77
37.6019	0.77
38.5877	0.77
39.6098	0.77
40.5956	0.77
41.6178	0.77
42.6036	0.77
43.6258	0.77
44.6115	0.77
45.6338	0.77
46.6195	0.77
47.6417	0.77
48.6275	0.77
49.6497	0.77
50.6354	0.77
51.6577	0.77
52.6433	0.77
53.6656	0.77
54.6513	0.77
55.6736	0.77
56.6592	0.77
57.6815	0.77
58.6672	0.77
59.6895	0.76
