Velocity In Gate, Ch 1, Run #22
Time ( s )	Velocity In Gate ( m/s )
0.4337	0.62
1.4099	0.62
2.4305	0.62
3.4067	0.62
4.4273	0.62
5.4034	0.62
6.4240	0.62
7.4002	0.62
8.4208	0.62
9.3970	0.62
10.4175	0.62
11.3937	0.61
12.4143	0.61
13.3904	0.61
14.4111	0.61
15.3871	0.61
16.4078	0.61
17.3839	0.61
18.4046	0.61
19.3807	0.61
20.4013	0.61
21.3774	0.61
22.3981	0.61
23.3741	0.61
24.3948	0.61
25.3708	0.61
26.3916	0.61
27.3676	0.61
28.3883	0.61
29.3642	0.61
30.3849	0.61
31.3609	0.61
32.3817	0.61
33.3577	0.61
34.3785	0.61
35.3544	0.61
36.3752	0.61
37.3512	0.61
38.3720	0.61
39.3479	0.61
40.3687	0.61
41.3446	0.61
42.3654	0.61
43.3413	0.61
44.3622	0.61
45.3380	0.61
46.3590	0.61
47.3348	0.61
48.3558	0.61
49.3315	0.61
50.3525	0.61
51.3283	0.61
52.3492	0.61
53.3250	0.61
54.3459	0.61
55.3217	0.61
56.3426	0.60
57.3184	0.60
58.3394	0.60
59.3151	0.60
60.3361	0.60
61.3119	0.60
62.3329	0.60
63.3085	0.60
64.3295	0.60
