Time	Velocit)
0.6574	0.64
1.6416	0.64
2.6628	0.64
3.6470	0.64
4.6683	0.64
5.6524	0.64
6.6737	0.64
7.6577	0.64
8.6791	0.64
9.6631	0.64
10.6845	0.64
11.6684	0.64
12.6898	0.64
13.6739	0.64
14.6953	0.64
15.6793	0.64
16.7006	0.64
17.6846	0.64
18.7060	0.64
19.6900	0.64
20.7115	0.63
21.6954	0.63
22.7168	0.63
23.7008	0.63
24.7223	0.63
25.7061	0.63
26.7276	0.63
27.7116	0.63
28.7330	0.63
29.7169	0.63
30.7384	0.63
31.7223	0.63
32.7438	0.63
33.7276	0.63
34.7492	0.63
35.7330	0.63
36.7545	0.63
37.7384	0.63
38.7600	0.63
39.7438	0.63
40.7653	0.63
41.7492	0.63
42.7707	0.63
43.7545	0.63
44.7760	0.63
45.7599	0.63
46.7814	0.63
47.7652	0.63
48.7868	0.63
49.7705	0.63
50.7922	0.63
51.7759	0.63
52.7975	0.63
53.7813	0.63
54.8029	0.63
55.7867	0.63
56.8084	0.63
57.7920	0.63
58.8137	0.63
59.7974	0.63
60.8191	0.63
61.8028	0.63
62.8244	0.63
