Velocity In Gate, Ch 1, Run #2
Time ( s )	Velocity In Gate ( m/s )
0.0550	0.74
1.0139	0.74
2.0577	0.74
3.0165	0.73
4.0604	0.73
5.0192	0.74
6.0632	0.73
7.0219	0.73
8.0660	0.73
9.0246	0.73
10.0686	0.73
11.0274	0.73
12.0713	0.73
13.0301	0.73
14.0741	0.73
15.0327	0.73
16.0768	0.73
17.0354	0.73
18.0796	0.73
19.0380	0.73
20.0822	0.73
21.0407	0.73
22.0849	0.73
23.0434	0.73
24.0876	0.73
25.0461	0.73
26.0903	0.73
27.0487	0.73
28.0931	0.73
29.0514	0.73
30.0958	0.73
31.0541	0.73
32.0984	0.73
33.0568	0.73
34.1011	0.73
35.0594	0.73
36.1038	0.72
37.0620	0.73
38.1065	0.72
39.0648	0.73
40.1093	0.72
41.0674	0.72
42.1119	0.72
43.0700	0.72
44.1146	0.72
45.0727	0.72
46.1174	0.72
47.0754	0.72
48.1200	0.72
49.0780	0.72
50.1227	0.72
51.0807	0.72
52.1254	0.72
53.0833	0.72
54.1281	0.72
55.0860	0.72
56.1308	0.72
57.0887	0.72
58.1334	0.72
59.0914	0.72
60.1361	0.72
61.0939	0.72
62.1388	0.72
63.0966	0.72
64.1414	0.72
65.0993	0.72
