Time	Velocity
0.9893	0.34
1.9916	0.34
2.9858	0.34
3.9881	0.34
4.9824	0.34
5.9847	0.33
6.9790	0.33
7.9812	0.33
8.9755	0.33
9.9778	0.33
10.9721	0.33
11.9744	0.33
12.9686	0.33
13.9710	0.33
14.9653	0.33
15.9675	0.33
16.9618	0.33
17.9642	0.33
18.9584	0.33
19.9607	0.33
20.9549	0.33
21.9573	0.33
22.9515	0.33
23.9538	0.33
24.9481	0.33
25.9504	0.33
26.9446	0.33
27.9469	0.33
28.9412	0.33
29.9434	0.33
30.9377	0.33
31.9400	0.33
32.9342	0.33
33.9366	0.33
34.9308	0.33
35.9331	0.33
36.9274	0.33
37.9297	0.33
38.9239	0.33
39.9263	0.33
40.9205	0.33
41.9228	0.33
42.9170	0.33
43.9194	0.33
44.9136	0.33
45.9160	0.33
46.9101	0.33
47.9125	0.33
48.9067	0.33
49.9091	0.33
50.9033	0.33
51.9057	0.33
52.8998	0.33
53.9023	0.33
54.8964	0.33
55.8988	0.33
56.8930	0.33
57.8954	0.33
58.8895	0.33
59.8920	0.33
60.8861	0.33
61.8886	0.33
