Velocity In Gate, Ch 1, Run #15
Time ( s )	Velocity In Gate ( m/s )
0.7765	2.76
1.7248	2.75
2.6514	2.75
3.6015	2.72
4.5262	2.73
5.4773	2.70
6.4011	2.70
7.3534	2.69
8.2756	2.69
9.2288	2.69
10.1509	2.67
11.1041	2.67
12.0260	2.66
12.9793	2.65
13.9010	2.65
14.8542	2.65
15.7759	2.63
16.7290	2.63
17.6506	2.63
18.6037	2.62
19.5253	2.62
20.4784	2.62
21.3997	2.60
22.3527	2.59
23.2743	2.59
24.2270	2.59
25.1485	2.59
26.1013	2.59
27.0228	2.59
27.9755	2.58
28.8971	2.56
29.8496	2.58
30.7711	2.56
31.7236	2.55
32.6450	2.56
33.5976	2.55
34.5189	2.55
35.4714	2.55
36.3927	2.54
37.3451	2.54
38.2664	2.53
39.2188	2.53
40.1399	2.51
41.0924	2.51
42.0134	2.50
42.9659	2.51
43.8869	2.49
44.8394	2.49
45.7601	2.49
46.7126	2.49
47.6333	2.48
48.5859	2.48
49.5064	2.48
50.4591	2.46
51.3794	2.45
52.3321	2.45
53.2524	2.45
54.2051	2.44
55.1252	2.44
56.0780	2.44
56.9980	2.43
57.9508	2.43
58.8708	2.42
59.8235	2.42
60.7434	2.40
61.6962	2.42
62.6160	2.40
