Time In Gate, Ch 1, Run #7
Time ( s )	Elapsed Time ( s )
0.3382	0.0818
1.2995	0.0818
2.2412	0.0819
3.2025	0.0819
4.1442	0.0820
5.1055	0.0819
6.0472	0.0821
7.0085	0.0820
7.9503	0.0822
8.9115	0.0821
9.8534	0.0823
10.8146	0.0822
11.7564	0.0823
12.7177	0.0823
13.6594	0.0824
14.6206	0.0825
15.5624	0.0825
16.5237	0.0825
17.4654	0.0826
18.4267	0.0826
19.3684	0.0826
20.3297	0.0826
21.2713	0.0827
22.2327	0.0827
23.1743	0.0829
24.1357	0.0828
25.0774	0.0829
26.0387	0.0829
26.9803	0.0830
27.9417	0.0829
28.8833	0.0831
29.8447	0.0831
30.7863	0.0832
31.7477	0.0832
32.6893	0.0832
33.6506	0.0833
34.5922	0.0833
35.5537	0.0834
36.4953	0.0834
37.4566	0.0835
38.3982	0.0834
39.3597	0.0835
40.3012	0.0836
41.2626	0.0836
42.2041	0.0836
43.1655	0.0837
44.1071	0.0838
45.0685	0.0837
46.0100	0.0838
46.9715	0.0838
47.9129	0.0839
48.8744	0.0838
49.8159	0.0840
50.7774	0.0840
51.7189	0.0841
52.6804	0.0841
53.6218	0.0842
54.5833	0.0842
55.5246	0.0843
56.4862	0.0843
57.4276	0.0844
58.3892	0.0844
59.3306	0.0844
60.2921	0.0844
61.2335	0.0845
62.1950	0.0845
63.1365	0.0846
64.0980	0.0846
65.0394	0.0847
