"Time (s) Run #1","State Run #1","Block Event Times (s) Run #1","Period (s) Run #1","Block-to-Block Times (s) Run #1","Speed (m/s) Run #1","Time in Gate (s) Run #1","Time (s) Run #2","State Run #2","Block Event Times (s) Run #2","Period (s) Run #2","Block-to-Block Times (s) Run #2","Speed (m/s) Run #2","Time in Gate (s) Run #2"
4.264,1.00,4.26,,,,,1.669,1.00,1.67,,,,
4.270,0.00,,,,8.62,0.01,1.680,0.00,,,,4.27,0.01
4.276,1.00,4.28,,0.01,,,1.683,1.00,1.68,,0.01,,
4.282,0.00,,,,8.20,0.01,1.694,0.00,,,,4.59,0.01
7.313,1.00,7.31,3.05,3.04,,,5.526,1.00,5.53,3.86,3.84,,
7.319,0.00,,,,8.20,0.01,5.541,0.00,,,,3.31,0.02
7.324,1.00,7.32,,0.01,,,7.830,1.00,7.83,,2.30,,
7.331,0.00,,,,7.69,0.01,7.853,0.00,,,,2.25,0.02
10.037,1.00,10.04,2.72,2.71,,,11.688,1.00,11.69,6.16,3.86,,
10.042,0.00,,,,8.93,0.01,11.701,0.00,,,,3.97,0.01
10.047,1.00,10.05,,0.01,,,11.714,1.00,11.71,,0.03,,
10.054,0.00,,,,8.06,0.01,11.728,0.00,,,,3.52,0.01
13.167,1.00,13.17,3.13,3.12,,,13.973,1.00,13.97,2.28,2.26,,
13.173,0.00,,,,9.09,0.01,13.987,0.00,,,,3.55,0.01
13.176,1.00,13.18,,0.01,,,14.005,1.00,14.00,,0.03,,
13.181,0.00,,,,9.43,0.01,14.017,0.00,,,,4.03,0.01
15.887,1.00,15.89,2.72,2.71,,,17.856,1.00,17.86,3.88,3.85,,
15.893,0.00,,,,8.77,0.01,17.869,0.00,,,,3.85,0.01
15.900,1.00,15.90,,0.01,,,17.885,1.00,17.88,,0.03,,
15.906,0.00,,,,7.69,0.01,17.899,0.00,,,,3.42,0.01
19.110,1.00,19.11,3.22,3.21,,,20.131,1.00,20.13,2.28,2.25,,
19.119,0.00,,,,5.95,0.01,20.146,0.00,,,,3.42,0.01
21.811,1.00,21.81,,2.70,,,20.163,1.00,20.16,,0.03,,
21.818,0.00,,,,7.81,0.01,20.175,0.00,,,,3.97,0.01
21.822,1.00,21.82,2.71,0.01,,,24.031,1.00,24.03,3.90,3.87,,
21.828,0.00,,,,8.93,0.01,24.042,0.00,,,,4.39,0.01
25.131,1.00,25.13,,3.31,,,24.045,1.00,24.05,,0.01,,
25.142,0.00,,,,4.50,0.01,24.057,0.00,,,,4.10,0.01
27.834,1.00,27.83,6.01,2.70,,,26.308,1.00,26.31,2.28,2.26,,
27.841,0.00,,,,6.76,0.01,26.327,0.00,,,,2.67,0.02
31.247,1.00,31.25,,3.41,,,30.200,1.00,30.20,,3.89,,
31.253,0.00,,,,8.77,0.01,30.225,0.00,,,,2.00,0.03
31.257,1.00,31.26,3.42,0.01,,,32.453,1.00,32.45,6.14,2.25,,
