"Time (s) Run #1","State Run #1","Block Event Times (s) Run #1","Period (s) Run #1","Block-to-Block Times (s) Run #1","Speed (m/s) Run #1","Time in Gate (s) Run #1"
1.817,1.00,1.82,,,,
1.990,0.00,,,,0.12,0.17
5.226,1.00,5.23,,3.41,,
5.385,0.00,,,,0.13,0.16
9.052,1.00,9.05,7.23,3.83,,
9.219,0.00,,,,0.12,0.17
12.448,1.00,12.45,,3.40,,
12.625,0.00,,,,0.11,0.18
16.292,1.00,16.29,7.24,3.84,,
16.456,0.00,,,,0.12,0.16
19.685,1.00,19.69,,3.39,,
19.858,0.00,,,,0.12,0.17
23.518,1.00,23.52,7.23,3.83,,
23.686,0.00,,,,0.12,0.17
26.904,1.00,26.90,,3.39,,
27.072,0.00,,,,0.12,0.17
30.773,1.00,30.77,7.25,3.87,,
30.950,0.00,,,,0.11,0.18
34.117,1.00,34.12,,3.34,,
34.295,0.00,,,,0.11,0.18
38.013,1.00,38.01,7.24,3.90,,
38.186,0.00,,,,0.12,0.17
41.351,1.00,41.35,,3.34,,
41.530,0.00,,,,0.11,0.18
45.212,1.00,45.21,7.20,3.86,,
45.384,0.00,,,,0.12,0.17
48.625,1.00,48.62,,3.41,,
48.800,0.00,,,,0.11,0.18
52.426,1.00,52.43,7.21,3.80,,
52.600,0.00,,,,0.12,0.17
55.891,1.00,55.89,,3.46,,
56.063,0.00,,,,0.12,0.17
59.667,1.00,59.67,7.24,3.78,,
59.839,0.00,,,,0.12,0.17
63.119,1.00,63.12,,3.45,,
63.294,0.00,,,,0.11,0.18
66.899,1.00,66.90,7.23,3.78,,
67.071,0.00,,,,0.12,0.17
70.355,1.00,70.36,,3.46,,
70.532,0.00,,,,0.11,0.18
74.131,1.00,74.13,7.23,3.78,,
74.306,0.00,,,,0.11,0.18
77.589,1.00,77.59,,3.46,,
77.765,0.00,,,,0.11,0.18
81.367,1.00,81.37,7.24,3.78,,
81.542,0.00,,,,0.11,0.18
84.820,1.00,84.82,,3.45,,
84.997,0.00,,,,0.11,0.18
88.602,1.00,88.60,7.24,3.78,,
88.778,0.00,,,,0.11,0.18
92.055,1.00,92.06,,3.45,,
92.234,0.00,,,,0.11,0.18
