"Date and Time Run #1","Time (s) Run #1","State Run #1","Time in Gate (s) Run #1","Speed (m/s) Run #1"
09/19/2022 10:17:43 am,1.396,1.00,,
09/19/2022 10:17:43 am,1.437,0.00,0.04,1.23
09/19/2022 10:17:47 am,5.206,1.00,,
09/19/2022 10:17:47 am,5.238,0.00,0.03,1.52
09/19/2022 10:17:50 am,8.700,1.00,,
09/19/2022 10:17:50 am,8.740,0.00,0.04,1.26
09/19/2022 10:17:54 am,12.462,1.00,,
09/19/2022 10:17:54 am,12.496,0.00,0.03,1.46
09/19/2022 10:17:57 am,15.968,1.00,,
09/19/2022 10:17:58 am,16.006,0.00,0.04,1.31
09/19/2022 10:18:01 am,19.764,1.00,,
09/19/2022 10:18:01 am,19.804,0.00,0.04,1.26
09/19/2022 10:18:05 am,23.233,1.00,,
09/19/2022 10:18:05 am,23.274,0.00,0.04,1.20
09/19/2022 10:18:09 am,27.027,1.00,,
09/19/2022 10:18:09 am,27.061,0.00,0.03,1.47
09/19/2022 10:18:12 am,30.543,1.00,,
09/19/2022 10:18:12 am,30.584,0.00,0.04,1.23
09/19/2022 10:18:16 am,34.316,1.00,,
09/19/2022 10:18:16 am,34.351,0.00,0.03,1.43
09/19/2022 10:18:19 am,37.792,1.00,,
09/19/2022 10:18:19 am,37.829,0.00,0.04,1.36
09/19/2022 10:18:23 am,41.609,1.00,,
09/19/2022 10:18:23 am,41.649,0.00,0.04,1.24
09/19/2022 10:18:27 am,45.071,1.00,,
09/19/2022 10:18:27 am,45.108,0.00,0.04,1.34
09/19/2022 10:18:30 am,48.874,1.00,,
09/19/2022 10:18:30 am,48.908,0.00,0.03,1.47
09/19/2022 10:18:34 am,52.377,1.00,,
09/19/2022 10:18:34 am,52.418,0.00,0.04,1.21
09/19/2022 10:18:38 am,56.142,1.00,,
09/19/2022 10:18:38 am,56.176,0.00,0.03,1.45
09/19/2022 10:18:41 am,59.630,1.00,,
09/19/2022 10:18:41 am,59.672,0.00,0.04,1.19
09/19/2022 10:18:45 am,63.437,1.00,,
09/19/2022 10:18:45 am,63.479,0.00,0.04,1.20
09/19/2022 10:18:48 am,66.918,1.00,,
09/19/2022 10:18:48 am,66.958,0.00,0.04,1.23
09/19/2022 10:18:52 am,70.694,1.00,,
09/19/2022 10:18:52 am,70.732,0.00,0.04,1.33
09/19/2022 10:18:56 am,74.209,1.00,,
09/19/2022 10:18:56 am,74.251,0.00,0.04,1.19
09/19/2022 10:19:00 am,78.003,1.00,,
09/19/2022 10:19:00 am,78.039,0.00,0.04,1.39
09/19/2022 10:19:03 am,81.458,1.00,,
09/19/2022 10:19:03 am,81.498,0.00,0.04,1.25
09/19/2022 10:19:07 am,85.287,1.00,,
09/19/2022 10:19:07 am,85.327,0.00,0.04,1.25
09/19/2022 10:19:10 am,88.743,1.00,,
09/19/2022 10:19:10 am,88.780,0.00,0.04,1.37
09/19/2022 10:19:14 am,92.533,1.00,,
09/19/2022 10:19:14 am,92.575,0.00,0.04,1.20
09/19/2022 10:19:18 am,96.045,1.00,,
09/19/2022 10:19:18 am,96.085,0.00,0.04,1.26
09/19/2022 10:19:21 am,99.821,1.00,,
09/19/2022 10:19:21 am,99.860,0.00,0.04,1.28
09/19/2022 10:19:25 am,103.296,1.00,,
09/19/2022 10:19:25 am,103.340,0.00,0.04,1.13
09/19/2022 10:19:29 am,107.105,1.00,,
09/19/2022 10:19:29 am,107.149,0.00,0.04,1.14
09/19/2022 10:19:32 am,110.591,1.00,,
09/19/2022 10:19:32 am,110.629,0.00,0.04,1.32
09/19/2022 10:19:36 am,114.359,1.00,,
09/19/2022 10:19:36 am,114.404,0.00,0.04,1.12
09/19/2022 10:19:39 am,117.861,1.00,,
09/19/2022 10:19:39 am,117.901,0.00,0.04,1.24
09/19/2022 10:19:43 am,121.675,1.00,,
09/19/2022 10:19:43 am,121.714,0.00,0.04,1.27
09/19/2022 10:19:47 am,125.120,1.00,,
09/19/2022 10:19:47 am,125.162,0.00,0.04,1.19
09/19/2022 10:19:50 am,128.955,1.00,,
09/19/2022 10:19:50 am,128.995,0.00,0.04,1.26
09/19/2022 10:19:54 am,132.411,1.00,,
