,City,Latitude,Max Temp,Wind Speed,Cloudiness,Description,Humidity
0,puerto ayora,-0.7393,303.15,9.77,20.0,few clouds,79.0
1,khatanga,71.9667,268.96,5.96,86.0,overcast clouds,83.0
2,georgetown,5.4112,300.15,1.03,20.0,few clouds,94.0
3,kapaa,22.0752,299.26,6.17,75.0,broken clouds,69.0
4,qaanaaq,77.484,270.54,0.92,24.0,few clouds,85.0
5,isangel,-19.55,299.15,7.2,75.0,broken clouds,83.0
6,jamestown,42.097,289.26,6.17,90.0,overcast clouds,100.0
7,titel,45.2061,281.48,1.54,0.0,clear sky,70.0
8,hanzhong,33.0728,287.19,1.26,100.0,overcast clouds,68.0
9,iqaluit,63.7506,276.15,2.06,20.0,few clouds,70.0
10,zhigansk,66.7697,273.55,3.54,100.0,overcast clouds,99.0
11,saint-georges,12.0564,299.15,4.63,75.0,broken clouds,83.0
12,tuktoyaktuk,69.4541,266.15,4.12,90.0,overcast clouds,86.0
13,west bay,19.3667,303.15,5.66,20.0,few clouds,70.0
14,mataura,-46.1927,286.48,4.47,100.0,overcast clouds,81.0
15,barrow,71.2906,266.15,2.06,90.0,light snow,73.0
16,hermanus,-34.4187,289.26,0.76,99.0,overcast clouds,67.0
17,igunga,-4.2833,292.66,2.31,89.0,overcast clouds,86.0
18,upernavik,72.7868,272.62,3.38,84.0,broken clouds,86.0
19,hovd,48.0056,276.82,0.46,0.0,clear sky,27.0
20,lebu,-37.6167,285.23,5.11,28.0,scattered clouds,83.0
21,lufilufi,-13.8745,305.15,3.09,40.0,scattered clouds,66.0
22,sao joao da barra,-21.6403,296.15,3.09,0.0,clear sky,78.0
23,shakiso,5.75,287.74,0.96,94.0,overcast clouds,97.0
24,talnakh,69.4865,272.23,2.81,100.0,light snow,98.0
25,buraydah,26.326,295.15,1.54,0.0,clear sky,30.0
26,carnarvon,-24.8667,291.15,4.12,75.0,light rain,94.0
27,ushuaia,-54.8,276.15,10.29,75.0,broken clouds,81.0
28,tres passos,-27.4556,297.59,0.89,13.0,few clouds,70.0
29,bubaque,11.2833,298.68,9.39,71.0,broken clouds,69.0
30,kichmengskiy gorodok,59.9816,277.53,5.04,100.0,overcast clouds,96.0
31,smithers,54.7804,285.15,2.06,75.0,light rain,50.0
32,queanbeyan,-35.35,284.15,2.57,90.0,moderate rain,100.0
33,chuy,-33.6971,295.06,3.07,56.0,broken clouds,77.0
34,iskateley,67.6803,270.94,7.76,99.0,overcast clouds,92.0
35,thompson,55.7435,276.15,4.63,90.0,overcast clouds,56.0
36,charters towers,-20.1,295.21,3.06,68.0,broken clouds,76.0
37,aberdeen,57.1437,278.15,7.72,90.0,moderate rain,87.0
38,honiara,-9.4333,301.07,1.37,79.0,broken clouds,77.0
39,avarua,-21.2078,300.15,2.57,75.0,broken clouds,65.0
40,saint anthony,45.0205,291.15,8.75,90.0,overcast clouds,48.0
