"Date and Time Run #1","Time (s) Run #1","State Run #1","Time in Gate (s) Run #1","Speed (m/s) Run #1"
09/26/2022 09:43:30 am,3.298,1.00,,
09/26/2022 09:43:30 am,3.370,0.00,0.07,0.69
09/26/2022 09:43:33 am,6.917,1.00,,
09/26/2022 09:43:33 am,6.994,0.00,0.08,0.65
09/26/2022 09:43:37 am,10.606,1.00,,
09/26/2022 09:43:37 am,10.657,0.00,0.05,0.99
09/26/2022 09:43:41 am,14.146,1.00,,
09/26/2022 09:43:41 am,14.213,0.00,0.07,0.74
09/26/2022 09:43:44 am,17.862,1.00,,
09/26/2022 09:43:44 am,17.914,0.00,0.05,0.96
09/26/2022 09:43:48 am,21.435,1.00,,
09/26/2022 09:43:48 am,21.520,0.00,0.08,0.59
09/26/2022 09:43:52 am,25.047,1.00,,
09/26/2022 09:43:52 am,25.113,0.00,0.07,0.75
09/26/2022 09:43:55 am,28.704,1.00,,
09/26/2022 09:43:55 am,28.773,0.00,0.07,0.72
09/26/2022 09:43:59 am,32.331,1.00,,
09/26/2022 09:43:59 am,32.417,0.00,0.09,0.58
09/26/2022 09:44:02 am,35.909,1.00,,
09/26/2022 09:44:02 am,35.989,0.00,0.08,0.63
09/26/2022 09:44:06 am,39.580,1.00,,
09/26/2022 09:44:06 am,39.662,0.00,0.08,0.61
09/26/2022 09:44:10 am,43.194,1.00,,
09/26/2022 09:44:10 am,43.256,0.00,0.06,0.80
09/26/2022 09:44:13 am,46.789,1.00,,
09/26/2022 09:44:13 am,46.873,0.00,0.08,0.60
09/26/2022 09:44:17 am,50.402,1.00,,
09/26/2022 09:44:17 am,50.483,0.00,0.08,0.62
09/26/2022 09:44:21 am,54.094,1.00,,
09/26/2022 09:44:21 am,54.152,0.00,0.06,0.87
09/26/2022 09:44:24 am,57.633,1.00,,
09/26/2022 09:44:24 am,57.700,0.00,0.07,0.75
09/26/2022 09:44:28 am,61.329,1.00,,
09/26/2022 09:44:28 am,61.395,0.00,0.07,0.76
09/26/2022 09:44:31 am,64.925,1.00,,
09/26/2022 09:44:32 am,65.016,0.00,0.09,0.55
09/26/2022 09:44:35 am,68.524,1.00,,
09/26/2022 09:44:35 am,68.586,0.00,0.06,0.80
09/26/2022 09:44:39 am,72.164,1.00,,
09/26/2022 09:44:39 am,72.240,0.00,0.08,0.66
09/26/2022 09:44:42 am,75.818,1.00,,
09/26/2022 09:44:42 am,75.907,0.00,0.09,0.56
09/26/2022 09:44:46 am,79.384,1.00,,
09/26/2022 09:44:46 am,79.471,0.00,0.09,0.57
09/26/2022 09:44:50 am,83.043,1.00,,
09/26/2022 09:44:50 am,83.118,0.00,0.07,0.67
09/26/2022 09:44:53 am,86.683,1.00,,
09/26/2022 09:44:53 am,86.755,0.00,0.07,0.69
09/26/2022 09:44:57 am,90.272,1.00,,
09/26/2022 09:44:57 am,90.362,0.00,0.09,0.56
09/26/2022 09:45:00 am,93.874,1.00,,
09/26/2022 09:45:00 am,93.951,0.00,0.08,0.65
