Velocity In Gate, Ch 1, Run #6
Time ( s )	Velocity In Gate ( m/s )
0.4869	0.33
1.4708	0.33
2.4849	0.33
3.4687	0.33
4.4828	0.33
5.4665	0.33
6.4807	0.33
7.4645	0.33
8.4786	0.33
9.4624	0.33
10.4766	0.33
11.4603	0.33
12.4745	0.33
13.4582	0.33
14.4724	0.33
15.4560	0.33
16.4703	0.33
17.4539	0.33
18.4682	0.33
19.4518	0.33
20.4661	0.33
21.4497	0.33
22.4641	0.33
23.4477	0.33
24.4620	0.33
25.4456	0.33
26.4598	0.33
27.4434	0.33
28.4577	0.33
29.4413	0.33
30.4557	0.33
31.4393	0.33
32.4535	0.33
33.4372	0.33
34.4514	0.33
35.4351	0.33
36.4493	0.33
37.4329	0.33
38.4473	0.33
39.4308	0.33
40.4451	0.33
41.4287	0.33
42.4431	0.33
43.4266	0.33
44.4409	0.33
45.4244	0.33
46.4388	0.33
47.4223	0.33
48.4366	0.33
49.4202	0.33
50.4346	0.33
51.4180	0.33
52.4324	0.33
53.4160	0.33
54.4304	0.33
55.4138	0.33
56.4283	0.33
57.4117	0.33
58.4262	0.33
59.4096	0.33
60.4240	0.33
61.4074	0.33
62.4219	0.33
63.4053	0.33
64.4198	0.33
65.4032	0.33
