Velocity In Gate, Ch 1, Run #22
Time ( s )	Velocity In Gate ( m/s )
0.5299	0.99
1.5109	0.98
2.5368	0.99
3.5177	0.98
4.5437	0.98
5.5245	0.98
6.5504	0.98
7.5312	0.98
8.5571	0.98
9.5379	0.98
10.5639	0.98
11.5446	0.98
12.5706	0.98
13.5514	0.98
14.5774	0.98
15.5581	0.98
16.5842	0.98
17.5648	0.98
18.5909	0.98
19.5715	0.98
20.5975	0.97
21.5782	0.97
22.6043	0.97
23.5849	0.97
24.6110	0.97
25.5916	0.97
26.6178	0.97
27.5983	0.97
28.6245	0.97
29.6050	0.97
30.6313	0.97
31.6117	0.97
32.6380	0.97
33.6184	0.97
34.6448	0.97
35.6252	0.97
36.6514	0.97
37.6317	0.97
38.6581	0.97
39.6384	0.97
40.6648	0.97
41.6450	0.96
42.6714	0.96
43.6517	0.96
44.6781	0.96
45.6584	0.96
46.6848	0.96
47.6650	0.96
48.6915	0.96
49.6716	0.96
50.6980	0.96
51.6782	0.96
52.7047	0.96
53.6848	0.96
54.7113	0.96
55.6915	0.96
56.7180	0.96
57.6980	0.95
58.7246	0.96
59.7046	0.95
60.7312	0.95
61.7112	0.95
