Velocity In Gate, Ch 1, Run #23
Time ( s )	Velocity In Gate ( m/s )
0.6333	0.62
1.6259	0.62
2.6671	0.62
3.6597	0.62
4.7009	0.62
5.6934	0.62
6.7346	0.62
7.7271	0.62
8.7683	0.62
9.7608	0.62
10.8020	0.62
11.7947	0.62
12.8359	0.62
13.8284	0.62
14.8696	0.62
15.8621	0.62
16.9033	0.62
17.8957	0.62
18.9371	0.61
19.9295	0.61
20.9709	0.61
21.9633	0.62
23.0046	0.61
23.9970	0.61
25.0384	0.61
26.0307	0.61
27.0722	0.61
28.0645	0.61
29.1059	0.61
30.0982	0.61
31.1396	0.61
32.1319	0.61
33.1734	0.61
34.1656	0.61
35.2071	0.61
36.1993	0.61
37.2409	0.61
38.2331	0.61
39.2746	0.61
40.2668	0.61
41.3082	0.61
42.3004	0.61
43.3420	0.61
44.3341	0.61
45.3757	0.61
46.3679	0.61
47.4094	0.61
48.4016	0.61
49.4432	0.61
50.4352	0.61
51.4769	0.61
52.4689	0.61
53.5106	0.61
54.5026	0.61
55.5443	0.61
56.5363	0.61
57.5781	0.60
58.5700	0.60
59.6117	0.60
60.6037	0.60
61.6454	0.60
62.6374	0.60
63.6791	0.60
64.6711	0.60
65.7129	0.60
66.7048	0.60
67.7466	0.60
68.7385	0.60
69.7802	0.60
70.7721	0.60
71.8140	0.60
72.8058	0.60
73.8476	0.60
