Velocity In Gate, Ch 1, Run #11
Time ( s )	Velocity In Gate ( m/s )
0.2131	0.71
1.1791	0.71
2.2217	0.71
3.1877	0.71
4.2303	0.71
5.1965	0.71
6.2391	0.71
7.2051	0.71
8.2478	0.71
9.2138	0.71
10.2565	0.71
11.2223	0.71
12.2651	0.70
13.2310	0.70
14.2738	0.70
15.2397	0.70
16.2825	0.70
17.2483	0.70
18.2912	0.70
19.2569	0.70
20.2998	0.70
21.2656	0.70
22.3085	0.70
23.2743	0.70
24.3171	0.70
25.2828	0.70
26.3258	0.70
27.2915	0.70
28.3345	0.70
29.3001	0.70
30.3431	0.70
31.3087	0.70
32.3518	0.70
33.3173	0.70
34.3604	0.70
35.3259	0.70
36.3690	0.70
37.3345	0.70
38.3776	0.70
39.3432	0.70
40.3863	0.70
41.3518	0.70
42.3950	0.70
43.3605	0.70
44.4036	0.70
45.3691	0.70
46.4123	0.70
47.3777	0.70
48.4209	0.70
49.3863	0.70
50.4296	0.69
51.3949	0.70
52.4382	0.69
53.4036	0.70
54.4468	0.69
55.4121	0.69
56.4555	0.69
57.4207	0.69
58.4641	0.69
59.4293	0.69
60.4727	0.69
61.4379	0.69
