Time	Velocity
0.9521	0.32
1.9756	0.32
2.9507	0.32
3.9741	0.32
4.9493	0.32
5.9727	0.32
6.9479	0.32
7.9713	0.32
8.9465	0.32
9.9700	0.32
10.9451	0.32
11.9686	0.32
12.9437	0.32
13.9671	0.32
14.9422	0.32
15.9658	0.32
16.9408	0.32
17.9644	0.32
18.9395	0.32
19.9630	0.32
20.9380	0.32
21.9616	0.32
22.9366	0.32
23.9603	0.32
24.9351	0.32
25.9588	0.31
26.9337	0.31
27.9575	0.31
28.9323	0.31
29.9560	0.31
30.9309	0.31
31.9547	0.31
32.9295	0.31
33.9532	0.31
34.9281	0.31
35.9518	0.31
36.9267	0.31
37.9505	0.31
38.9253	0.31
39.9491	0.31
40.9238	0.31
41.9477	0.31
42.9224	0.31
43.9462	0.31
44.9211	0.31
45.9448	0.31
46.9195	0.31
47.9433	0.31
48.9180	0.31
49.9419	0.31
50.9166	0.31
51.9404	0.31
52.9151	0.31
53.9390	0.31
54.9137	0.31
55.9377	0.31
56.9123	0.31
57.9361	0.31
58.9108	0.31
59.9348	0.31
60.9095	0.31
61.9333	0.31
62.9081	0.31
