Time In Gate, Ch 1, Run #12
Time ( s )	Elapsed Time ( s )
0.3883	0.0705
1.3791	0.0706
2.3620	0.0706
3.3528	0.0707
4.3357	0.0707
5.3266	0.0707
6.3095	0.0708
7.3003	0.0708
8.2832	0.0707
9.2740	0.0709
10.2570	0.0708
11.2478	0.0709
12.2307	0.0708
13.2216	0.0710
14.2045	0.0709
15.1953	0.0710
16.1782	0.0710
17.1690	0.0711
18.1519	0.0710
19.1427	0.0711
20.1256	0.0711
21.1165	0.0712
22.0994	0.0711
23.0902	0.0712
24.0731	0.0712
25.0639	0.0713
26.0468	0.0712
27.0376	0.0713
28.0205	0.0714
29.0114	0.0714
29.9942	0.0713
30.9851	0.0714
31.9680	0.0714
32.9588	0.0715
33.9416	0.0715
34.9325	0.0715
35.9154	0.0716
36.9062	0.0715
37.8891	0.0716
38.8799	0.0717
39.8628	0.0716
40.8537	0.0717
41.8365	0.0716
42.8273	0.0717
43.8102	0.0718
44.8011	0.0718
45.7839	0.0718
46.7748	0.0718
47.7576	0.0719
48.7485	0.0719
49.7313	0.0719
50.7223	0.0719
51.7051	0.0719
52.6959	0.0719
53.6788	0.0720
54.6696	0.0721
55.6525	0.0720
56.6433	0.0721
57.6261	0.0721
58.6171	0.0721
59.5999	0.0722
60.5908	0.0722
61.5736	0.0722
62.5645	0.0723
63.5472	0.0723
