,City,Latitude,Longitude,Max Temp,Wind Speed,Cloudiness,Description,Humidity
0,hobart,-42.8794,147.3294,287.04,1.03,17.0,fog,100.0
1,punta arenas,-53.15,-70.9167,279.15,3.6,75.0,broken clouds,87.0
2,longyearbyen,78.2186,15.6401,266.15,5.14,20.0,few clouds,68.0
3,sorland,67.667,12.6934,279.15,2.06,0.0,clear sky,49.0
4,lisala,2.15,21.5167,296.63,0.52,99.0,overcast clouds,86.0
5,semnan,35.5729,53.3971,294.37,7.3,60.0,broken clouds,49.0
6,lebu,-37.6167,-73.65,288.87,2.89,90.0,overcast clouds,59.0
7,tuktoyaktuk,69.4541,-133.0374,268.15,3.09,90.0,mist,100.0
8,rikitea,-23.1203,-134.9692,297.94,4.65,55.0,broken clouds,72.0
9,saint-philippe,-21.3585,55.7679,297.15,4.63,90.0,light rain,78.0
10,isangel,-19.55,169.2667,297.43,3.37,4.0,clear sky,86.0
11,menongue,-14.6585,17.691,296.27,1.15,88.0,overcast clouds,53.0
12,sosva,59.1766,61.8558,278.2,5.64,53.0,broken clouds,60.0
13,saint anthony,45.0205,-93.218,286.48,4.63,20.0,few clouds,35.0
14,mataura,-46.1927,168.8643,280.93,0.89,22.0,few clouds,96.0
15,nikolskoye,59.7035,30.7861,279.82,4.0,75.0,light rain,87.0
16,katherine,-14.4667,132.2667,290.15,2.06,25.0,scattered clouds,77.0
17,albany,42.6001,-73.9662,287.59,0.89,26.0,scattered clouds,35.0
18,avarua,-21.2078,-159.775,296.15,6.17,90.0,light rain,94.0
19,jamestown,42.097,-79.2353,284.82,5.66,1.0,clear sky,43.0
20,los llanos de aridane,28.6585,-17.9182,294.15,4.63,75.0,broken clouds,64.0
21,lagoa,39.05,-27.9833,289.99,10.0,2.0,clear sky,89.0
22,kaitangata,-46.2817,169.8464,280.94,1.6,30.0,scattered clouds,94.0
23,mahebourg,-20.4081,57.7,295.15,1.67,75.0,moderate rain,100.0
24,kapaa,22.0752,-159.319,296.15,6.17,40.0,light rain,83.0
25,vaini,-21.2,-175.2,297.15,5.14,75.0,light rain,88.0
26,fairbanks,64.8378,-147.7164,281.15,2.28,1.0,clear sky,81.0
27,kasimov,54.9411,41.3953,287.04,7.05,99.0,overcast clouds,62.0
28,victoria,22.2855,114.1577,298.15,0.45,18.0,few clouds,85.0
29,katsuura,35.1333,140.3,289.15,2.06,75.0,broken clouds,88.0
30,bluff,-46.6,168.3333,280.93,0.89,11.0,few clouds,96.0
31,uarini,-2.99,-65.1083,304.15,3.09,40.0,scattered clouds,74.0
32,wuxue,29.8506,115.5525,290.33,0.94,100.0,light rain,95.0
33,cherskiy,68.75,161.3,265.71,1.62,100.0,overcast clouds,93.0
34,clyde river,70.4692,-68.5914,268.15,1.54,75.0,broken clouds,93.0
35,kununurra,-15.7667,128.7333,292.15,1.54,11.0,few clouds,94.0
36,diamantino,-14.4086,-56.4461,299.34,4.23,28.0,scattered clouds,53.0
37,tura,25.5198,90.2201,294.14,1.56,18.0,few clouds,87.0
38,mar del plata,-38.0023,-57.5575,289.26,6.17,40.0,scattered clouds,63.0
39,cidreira,-30.1811,-50.2056,290.65,5.84,100.0,overcast clouds,60.0
40,tasiilaq,65.6145,-37.6368,273.15,2.06,75.0,broken clouds,74.0
41,bredasdorp,-34.5322,20.0403,289.15,4.63,100.0,moderate rain,94.0
42,mokhsogollokh,61.4681,128.9203,273.8,2.52,100.0,overcast clouds,98.0
43,faanui,-16.4833,-151.75,300.56,5.62,16.0,few clouds,74.0
44,catuday,16.2923,119.8062,300.65,1.9,52.0,broken clouds,78.0
45,narsaq,60.9167,-46.05,281.15,5.66,40.0,scattered clouds,46.0
46,ushuaia,-54.8,-68.3,279.15,1.03,0.0,clear sky,75.0
47,salisbury,51.0693,-1.7957,285.93,6.17,20.0,few clouds,35.0
48,puerto ayora,-0.7393,-90.3518,300.15,7.72,20.0,few clouds,69.0
49,clermont,49.5,2.4167,282.15,3.6,90.0,overcast clouds,81.0
50,kodiak,57.79,-152.4072,275.15,1.94,75.0,broken clouds,80.0
51,aswan,24.0934,32.907,313.68,6.89,32.0,scattered clouds,7.0
