,City,Latitude,Longitude,Max Temp,Wind Speed,Cloudiness,Description,Humidity
0,rikitea,-23.1203,-134.9692,296.67,8.08,100.0,overcast clouds,67.0
1,pevek,69.7008,170.3133,271.9,0.67,74.0,broken clouds,91.0
2,new norfolk,-42.7826,147.0587,285.37,2.24,100.0,light rain,83.0
3,stromness,58.965,-3.296,281.15,2.06,90.0,overcast clouds,87.0
4,albany,42.6001,-73.9662,291.15,2.06,1.0,clear sky,32.0
5,jacareacanga,-6.2222,-57.7528,297.7,0.74,45.0,scattered clouds,77.0
6,arraial do cabo,-22.9661,-42.0278,294.12,3.55,3.0,clear sky,77.0
7,lebu,-37.6167,-73.65,284.07,3.93,0.0,clear sky,86.0
8,victoria,22.2855,114.1577,303.71,4.53,14.0,few clouds,79.0
9,nikolskoye,59.7035,30.7861,286.15,3.0,75.0,heavy intensity rain,94.0
10,mandalgovi,45.7625,106.2708,286.6,4.75,0.0,clear sky,23.0
11,alyangula,-13.8483,136.4192,300.15,5.14,39.0,scattered clouds,54.0
12,aklavik,68.2191,-135.0107,283.15,3.6,100.0,overcast clouds,46.0
13,jamestown,42.097,-79.2353,289.15,3.09,1.0,clear sky,29.0
14,tiksi,71.6872,128.8694,272.77,4.09,100.0,overcast clouds,91.0
15,jian,27.1172,114.9793,301.59,4.25,64.0,light rain,73.0
16,ushuaia,-54.8,-68.3,279.15,2.06,20.0,few clouds,70.0
17,price,39.5994,-110.8107,299.15,6.17,1.0,clear sky,8.0
18,wilmington,34.2257,-77.9447,293.15,3.09,1.0,clear sky,42.0
19,baker city,44.7749,-117.8344,295.93,5.36,2.0,clear sky,32.0
20,atuona,-9.8,-139.0333,299.51,7.05,9.0,clear sky,67.0
21,ak-dovurak,51.1833,90.6,287.54,0.97,5.0,clear sky,43.0
22,longyearbyen,78.2186,15.6401,267.15,3.6,40.0,scattered clouds,68.0
23,quatre cocos,-20.2078,57.7625,297.59,5.14,20.0,few clouds,73.0
24,san juan,-31.5375,-68.5364,274.26,16.09,90.0,overcast clouds,37.0
25,kruisfontein,-34.0033,24.7314,287.59,1.34,100.0,light rain,93.0
26,zhigalovo,54.8097,105.1578,279.56,2.6,100.0,light rain,93.0
27,kapaa,22.0752,-159.319,299.26,8.75,40.0,scattered clouds,65.0
28,cape canaveral,28.4058,-80.6048,297.59,4.63,40.0,scattered clouds,56.0
29,broome,42.2506,-75.833,291.15,0.71,75.0,broken clouds,32.0
30,grand gaube,-20.0064,57.6608,297.59,2.24,0.0,clear sky,67.0
31,bluff,-46.6,168.3333,284.26,1.79,72.0,broken clouds,75.0
32,basoko,1.2391,23.616,294.96,0.95,77.0,broken clouds,95.0
33,tokmak,47.2514,35.7058,287.09,2.77,83.0,broken clouds,76.0
34,kourou,5.1552,-52.6478,298.15,5.14,75.0,mist,94.0
35,vostok,46.4856,135.8833,288.01,4.41,8.0,clear sky,48.0
36,cape town,-33.9258,18.4232,285.93,4.12,0.0,clear sky,87.0
37,valparaiso,-33.0393,-71.6273,285.93,2.57,40.0,mist,87.0
38,alice springs,-23.7,133.8833,288.15,8.23,0.0,clear sky,55.0
