Altitude,Temperature,Gravity,Pressure,Density,Viscosity
-1000,21.50,9.810,11.39,1.347,1.821
0,15.00,9.807,10.13,1.225,1.789
1000,8.50,9.804,8.988,1.112,1.758
2000,2.00,9.801,7.950,1.007,1.726
3000,-4.49,9.797,7.012,0.9093,1.694
4000,-10.98,9.794,6.166,0.8194,1.661
5000,-17.47,9.791,5.405,0.7364,1.628
6000,-23.96,9.788,4.722,0.6601,1.595
7000,-30.45,9.785,4.111,0.5900,1.561
8000,-36.94,9.782,3.565,0.5258,1.527
9000,-43.42,9.779,3.080,0.4671,1.493
10000,-49.90,9.776,2.650,0.4135,1.458
15000,-56.50,9.761,1.211,0.1948,1.422
20000,-56.50,9.745,0.5529,0.08891,1.422
25000,-51.60,9.730,0.2549,0.04008,1.448
30000,-46.64,9.715,0.1197,0.01841,1.475
40000,-22.80,9.684,0.0287,0.003996,1.601
50000,-2.5,9.654,0.007978,0.001027,1.704
60000,-26.13,9.624,0.002196,0.0003097,1.584
70000,-53.57,9.594,0.00052,0.00008283,1.438
80000,-74.51,9.564,0.00011,0.00001846,1.321
