date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,19,14,0.0,5.3,4,26,04:03 AM,03:03 PM,08:18 AM,05:59 PM,11,11,11,11,39,93,100,0.1,1013,11,10,205,7,23517
2019-01-01 03:00:00,19,14,0.0,5.3,4,26,04:03 AM,03:03 PM,08:18 AM,05:59 PM,12,12,12,12,41,96,100,0.0,1012,11,10,222,8,23517
2019-01-01 06:00:00,19,14,0.0,5.3,4,26,04:03 AM,03:03 PM,08:18 AM,05:59 PM,13,13,13,13,52,97,99,0.0,1012,12,10,235,9,23517
2019-01-01 09:00:00,19,14,0.0,5.3,4,26,04:03 AM,03:03 PM,08:18 AM,05:59 PM,15,17,17,17,51,81,91,0.0,1013,16,10,249,14,23517
2019-01-01 12:00:00,19,14,0.0,5.3,4,26,04:03 AM,03:03 PM,08:18 AM,05:59 PM,14,20,20,20,39,69,69,0.1,1016,19,10,281,19,23517
2019-01-01 15:00:00,19,14,0.0,5.3,4,26,04:03 AM,03:03 PM,08:18 AM,05:59 PM,11,19,19,19,30,57,61,0.1,1016,19,9,302,16,23517
2019-01-01 18:00:00,19,14,0.0,5.3,4,26,04:03 AM,03:03 PM,08:18 AM,05:59 PM,12,17,18,17,21,31,78,0.0,1016,17,10,326,5,23517
2019-01-01 21:00:00,19,14,0.0,5.3,4,26,04:03 AM,03:03 PM,08:18 AM,05:59 PM,9,14,17,14,20,62,81,0.0,1019,14,10,246,7,23517
2019-01-02 00:00:00,9,6,0.0,9.8,3,19,05:04 AM,03:40 PM,08:18 AM,06:00 PM,5,10,13,10,22,26,76,0.0,1022,10,10,29,14,23517
2019-01-02 03:00:00,9,6,0.0,9.8,3,19,05:04 AM,03:40 PM,08:18 AM,06:00 PM,4,6,8,6,21,25,77,0.0,1023,7,10,38,11,23517
2019-01-02 06:00:00,9,6,0.0,9.8,3,19,05:04 AM,03:40 PM,08:18 AM,06:00 PM,4,5,7,5,21,28,77,0.0,1024,6,10,47,9,23517
2019-01-02 09:00:00,9,6,0.0,9.8,3,19,05:04 AM,03:40 PM,08:18 AM,06:00 PM,3,7,8,7,21,31,73,0.0,1024,7,10,54,9,23517
2019-01-02 12:00:00,9,6,0.0,9.8,3,19,05:04 AM,03:40 PM,08:18 AM,06:00 PM,3,10,10,10,19,22,67,0.0,1023,9,10,63,9,23517
