date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,4,0,0.0,5.8,2,26,04:41 AM,02:50 PM,09:08 AM,05:25 PM,-2,0,1,0,8,39,81,0.0,1031,0,10,95,7,Vancouver
2019-01-01 03:00:00,4,0,0.0,5.8,2,26,04:41 AM,02:50 PM,09:08 AM,05:25 PM,-1,-2,1,-2,9,47,84,0.0,1031,0,10,100,8,Vancouver
2019-01-01 06:00:00,4,0,0.0,5.8,2,26,04:41 AM,02:50 PM,09:08 AM,05:25 PM,-1,-2,1,-2,9,55,82,0.0,1030,0,10,107,7,Vancouver
2019-01-01 09:00:00,4,0,0.0,5.8,2,26,04:41 AM,02:50 PM,09:08 AM,05:25 PM,-1,-1,2,-1,7,60,81,0.0,1030,1,10,116,8,Vancouver
2019-01-01 12:00:00,4,0,0.0,5.8,2,26,04:41 AM,02:50 PM,09:08 AM,05:25 PM,2,1,4,1,7,41,87,0.0,1028,4,10,128,10,Vancouver
2019-01-01 15:00:00,4,0,0.0,5.8,2,26,04:41 AM,02:50 PM,09:08 AM,05:25 PM,1,2,4,2,8,26,81,0.0,1028,4,10,131,9,Vancouver
2019-01-01 18:00:00,4,0,0.0,5.8,2,26,04:41 AM,02:50 PM,09:08 AM,05:25 PM,-0,1,3,1,8,25,78,0.0,1027,2,10,122,6,Vancouver
2019-01-01 21:00:00,4,0,0.0,5.8,2,26,04:41 AM,02:50 PM,09:08 AM,05:25 PM,-1,1,3,1,11,32,80,0.0,1027,2,10,98,7,Vancouver
2019-01-02 00:00:00,6,2,0.0,2.0,1,19,05:49 AM,03:20 PM,09:08 AM,05:26 PM,0,-0,2,-0,13,62,83,0.0,1025,1,10,99,8,Vancouver
2019-01-02 03:00:00,6,2,0.0,2.0,1,19,05:49 AM,03:20 PM,09:08 AM,05:26 PM,0,-1,2,-1,15,75,84,0.0,1024,2,10,96,11,Vancouver
2019-01-02 06:00:00,6,2,0.0,2.0,1,19,05:49 AM,03:20 PM,09:08 AM,05:26 PM,1,0,3,0,18,36,90,0.0,1025,2,10,97,12,Vancouver
2019-01-02 09:00:00,6,2,0.0,2.0,1,19,05:49 AM,03:20 PM,09:08 AM,05:26 PM,3,1,4,1,19,66,92,0.0,1023,3,10,100,12,Vancouver
2019-01-02 12:00:00,6,2,0.0,2.0,1,19,05:49 AM,03:20 PM,09:08 AM,05:26 PM,4,3,6,3,18,87,90,0.6,1019,5,10,94,13,Vancouver
2019-01-02 15:00:00,6,2,0.0,2.0,1,19,05:49 AM,03:20 PM,09:08 AM,05:26 PM,5,3,6,3,20,100,90,3.7,1016,6,8,87,14,Vancouver
2019-01-02 18:00:00,6,2,0.0,2.0,1,19,05:49 AM,03:20 PM,09:08 AM,05:26 PM,5,2,5,2,28,100,97,6.6,1017,4,7,90,17,Vancouver
2019-01-02 21:00:00,6,2,0.0,2.0,1,19,05:49 AM,03:20 PM,09:08 AM,05:26 PM,6,1,3,1,30,100,100,6.8,1013,1,6,101,20,Vancouver
2019-01-03 00:00:00,6,5,0.0,2.0,2,11,06:54 AM,03:56 PM,09:08 AM,05:27 PM,6,-1,3,-1,31,100,100,8.1,1011,1,6,103,19,Vancouver
