date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,27,25,0.0,8.7,7,26,02:27 AM,02:25 PM,06:21 AM,05:43 PM,20,19,22,19,36,12,73,0.0,1015,19,10,53,27,barbados
2019-01-01 03:00:00,27,25,0.0,8.7,7,26,02:27 AM,02:25 PM,06:21 AM,05:43 PM,20,26,26,25,35,4,73,0.0,1015,25,10,57,26,barbados
2019-01-01 06:00:00,27,25,0.0,8.7,7,26,02:27 AM,02:25 PM,06:21 AM,05:43 PM,20,26,26,25,35,0,74,0.0,1015,25,10,66,27,barbados
2019-01-01 09:00:00,27,25,0.0,8.7,7,26,02:27 AM,02:25 PM,06:21 AM,05:43 PM,20,28,28,26,34,0,68,0.0,1016,26,10,67,27,barbados
2019-01-01 12:00:00,27,25,0.0,8.7,7,26,02:27 AM,02:25 PM,06:21 AM,05:43 PM,21,29,29,27,32,0,67,0.0,1015,27,10,62,27,barbados
2019-01-01 15:00:00,27,25,0.0,8.7,7,26,02:27 AM,02:25 PM,06:21 AM,05:43 PM,20,28,28,27,34,7,68,0.0,1015,27,10,59,26,barbados
2019-01-01 18:00:00,27,25,0.0,8.7,7,26,02:27 AM,02:25 PM,06:21 AM,05:43 PM,20,26,26,25,37,19,72,0.0,1015,24,10,64,25,barbados
2019-01-01 21:00:00,27,25,0.0,8.7,7,26,02:27 AM,02:25 PM,06:21 AM,05:43 PM,21,20,24,20,36,35,74,0.1,1015,20,10,64,27,barbados
2019-01-02 00:00:00,27,26,0.0,8.7,6,19,03:19 AM,03:10 PM,06:21 AM,05:44 PM,20,19,23,19,34,75,75,0.5,1015,19,9,65,25,barbados
2019-01-02 03:00:00,27,26,0.0,8.7,6,19,03:19 AM,03:10 PM,06:21 AM,05:44 PM,21,27,27,25,35,73,76,0.5,1015,25,9,68,26,barbados
2019-01-02 06:00:00,27,26,0.0,8.7,6,19,03:19 AM,03:10 PM,06:21 AM,05:44 PM,20,26,26,25,35,75,75,0.2,1016,25,9,74,28,barbados
2019-01-02 09:00:00,27,26,0.0,8.7,6,19,03:19 AM,03:10 PM,06:21 AM,05:44 PM,21,29,29,27,34,58,72,0.1,1017,26,9,77,28,barbados
2019-01-02 12:00:00,27,26,0.0,8.7,6,19,03:19 AM,03:10 PM,06:21 AM,05:44 PM,21,30,30,28,33,2,68,0.0,1016,27,10,80,28,barbados
2019-01-02 15:00:00,27,26,0.0,8.7,6,19,03:19 AM,03:10 PM,06:21 AM,05:44 PM,21,29,29,27,34,2,70,0.0,1015,27,10,80,28,barbados
2019-01-02 18:00:00,27,26,0.0,8.7,6,19,03:19 AM,03:10 PM,06:21 AM,05:44 PM,21,28,28,26,36,14,74,0.0,1015,26,10,79,27,barbados
2019-01-02 21:00:00,27,26,0.0,8.7,6,19,03:19 AM,03:10 PM,06:21 AM,05:44 PM,21,28,28,26,37,24,75,0.0,1016,26,10,72,27,barbados
2019-01-03 00:00:00,27,25,0.0,8.7,7,11,04:11 AM,03:56 PM,06:21 AM,05:45 PM,21,28,28,26,38,14,74,0.0,1016,26,10,66,28,barbados
2019-01-03 03:00:00,27,25,0.0,8.7,7,11,04:11 AM,03:56 PM,06:21 AM,05:45 PM,20,27,27,25,39,17,75,0.0,1015,25,10,72,29,barbados
2019-01-03 06:00:00,27,25,0.0,8.7,7,11,04:11 AM,03:56 PM,06:21 AM,05:45 PM,20,26,26,25,40,37,75,0.0,1016,25,10,77,31,barbados
2019-01-03 09:00:00,27,25,0.0,8.7,7,11,04:11 AM,03:56 PM,06:21 AM,05:45 PM,21,29,29,27,39,47,71,0.0,1016,27,10,80,31,barbados
2019-01-03 12:00:00,27,25,0.0,8.7,7,11,04:11 AM,03:56 PM,06:21 AM,05:45 PM,21,30,30,28,36,20,70,0.0,1015,27,10,82,31,barbados
2019-01-03 15:00:00,27,25,0.0,8.7,7,11,04:11 AM,03:56 PM,06:21 AM,05:45 PM,21,28,28,27,37,10,71,0.0,1015,26,10,81,30,barbados
2019-01-03 18:00:00,27,25,0.0,8.7,7,11,04:11 AM,03:56 PM,06:21 AM,05:45 PM,21,26,26,24,41,13,73,0.0,1015,24,10,77,31,barbados
2019-01-03 21:00:00,27,25,0.0,8.7,7,11,04:11 AM,03:56 PM,06:21 AM,05:45 PM,21,20,24,20,41,31,74,0.1,1016,20,10,77,31,barbados
2019-01-04 00:00:00,27,25,0.0,4.2,7,4,05:03 AM,04:44 PM,06:22 AM,05:45 PM,21,20,24,20,38,49,76,0.1,1015,20,10,77,29,barbados
2019-01-04 03:00:00,27,25,0.0,4.2,7,4,05:03 AM,04:44 PM,06:22 AM,05:45 PM,21,27,27,26,38,48,77,0.1,1016,25,10,79,28,barbados
2019-01-04 06:00:00,27,25,0.0,4.2,7,4,05:03 AM,04:44 PM,06:22 AM,05:45 PM,21,26,26,25,40,70,77,0.4,1016,25,9,78,31,barbados
2019-01-04 09:00:00,27,25,0.0,4.2,7,4,05:03 AM,04:44 PM,06:22 AM,05:45 PM,21,29,29,27,40,63,74,0.5,1017,26,10,78,32,barbados
2019-01-04 12:00:00,27,25,0.0,4.2,7,4,05:03 AM,04:44 PM,06:22 AM,05:45 PM,21,30,30,28,36,64,70,0.4,1015,27,10,83,31,barbados
2019-01-04 15:00:00,27,25,0.0,4.2,7,4,05:03 AM,04:44 PM,06:22 AM,05:45 PM,22,28,28,27,34,66,73,0.2,1016,26,9,83,28,barbados
2019-01-04 18:00:00,27,25,0.0,4.2,7,4,05:03 AM,04:44 PM,06:22 AM,05:45 PM,21,26,26,25,37,45,74,0.0,1016,25,10,75,29,barbados
2019-01-04 21:00:00,27,25,0.0,4.2,7,4,05:03 AM,04:44 PM,06:22 AM,05:45 PM,22,21,25,21,40,60,77,0.0,1016,21,10,70,30,barbados
2019-01-05 00:00:00,27,25,0.0,4.2,7,0,05:54 AM,05:34 PM,06:22 AM,05:46 PM,21,20,23,20,38,66,76,0.1,1015,20,10,72,29,barbados
2019-01-05 03:00:00,27,25,0.0,4.2,7,0,05:54 AM,05:34 PM,06:22 AM,05:46 PM,21,27,27,26,39,38,75,0.1,1015,25,10,81,30,barbados
2019-01-05 06:00:00,27,25,0.0,4.2,7,0,05:54 AM,05:34 PM,06:22 AM,05:46 PM,21,26,26,26,40,78,75,0.4,1016,25,9,88,32,barbados
2019-01-05 09:00:00,27,25,0.0,4.2,7,0,05:54 AM,05:34 PM,06:22 AM,05:46 PM,21,29,29,27,40,82,73,0.7,1017,27,9,89,32,barbados
2019-01-05 12:00:00,27,25,0.0,4.2,7,0,05:54 AM,05:34 PM,06:22 AM,05:46 PM,21,30,30,28,41,76,70,0.8,1016,27,9,87,34,barbados
2019-01-05 15:00:00,27,25,0.0,4.2,7,0,05:54 AM,05:34 PM,06:22 AM,05:46 PM,22,29,29,27,40,73,72,0.8,1016,27,9,91,31,barbados
2019-01-05 18:00:00,27,25,0.0,4.2,7,0,05:54 AM,05:34 PM,06:22 AM,05:46 PM,21,26,26,25,37,53,73,0.1,1016,25,10,96,29,barbados
2019-01-05 21:00:00,27,25,0.0,4.2,7,0,05:54 AM,05:34 PM,06:22 AM,05:46 PM,22,21,25,21,37,63,76,0.1,1016,21,10,97,30,barbados
2019-01-06 00:00:00,27,25,0.0,5.7,6,0,06:43 AM,06:24 PM,06:22 AM,05:46 PM,21,20,23,20,35,82,76,0.2,1016,20,9,97,31,barbados
2019-01-06 03:00:00,27,25,0.0,5.7,6,0,06:43 AM,06:24 PM,06:22 AM,05:46 PM,21,27,27,26,35,73,76,0.1,1016,25,10,95,27,barbados
2019-01-06 06:00:00,27,25,0.0,5.7,6,0,06:43 AM,06:24 PM,06:22 AM,05:46 PM,21,26,26,25,35,76,76,0.3,1016,25,10,93,30,barbados
2019-01-06 09:00:00,27,25,0.0,5.7,6,0,06:43 AM,06:24 PM,06:22 AM,05:46 PM,21,29,29,27,36,75,73,0.5,1017,27,9,92,30,barbados
2019-01-06 12:00:00,27,25,0.0,5.7,6,0,06:43 AM,06:24 PM,06:22 AM,05:46 PM,21,30,30,28,35,57,70,0.0,1016,27,10,85,34,barbados
2019-01-06 15:00:00,27,25,0.0,5.7,6,0,06:43 AM,06:24 PM,06:22 AM,05:46 PM,22,29,29,27,36,73,72,0.1,1016,27,10,78,28,barbados
2019-01-06 18:00:00,27,25,0.0,5.7,6,0,06:43 AM,06:24 PM,06:22 AM,05:46 PM,21,26,26,25,39,76,74,0.2,1016,24,10,75,28,barbados
2019-01-06 21:00:00,27,25,0.0,5.7,6,0,06:43 AM,06:24 PM,06:22 AM,05:46 PM,22,21,25,21,40,77,78,0.3,1016,21,9,73,31,barbados
2019-01-07 00:00:00,27,25,0.0,5.7,6,3,07:31 AM,07:14 PM,06:23 AM,05:47 PM,21,20,24,20,39,82,76,0.2,1016,20,9,71,32,barbados
2019-01-07 03:00:00,27,25,0.0,5.7,6,3,07:31 AM,07:14 PM,06:23 AM,05:47 PM,21,27,27,26,41,76,78,0.3,1016,25,9,73,31,barbados
2019-01-07 06:00:00,27,25,0.0,5.7,6,3,07:31 AM,07:14 PM,06:23 AM,05:47 PM,21,26,26,25,42,73,76,0.5,1016,25,9,72,34,barbados
