date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,10,1,0.0,8.7,3,26,03:54 AM,02:57 PM,08:00 AM,05:51 PM,-15,-4,0,-4,30,1,31,0.0,1022,-1,10,23,15,california
2019-01-01 03:00:00,10,1,0.0,8.7,3,26,03:54 AM,02:57 PM,08:00 AM,05:51 PM,-16,-6,-1,-6,19,0,31,0.0,1023,-2,10,51,16,california
2019-01-01 06:00:00,10,1,0.0,8.7,3,26,03:54 AM,02:57 PM,08:00 AM,05:51 PM,-14,-4,0,-4,8,0,35,0.0,1026,-1,10,114,12,california
2019-01-01 09:00:00,10,1,0.0,8.7,3,26,03:54 AM,02:57 PM,08:00 AM,05:51 PM,-13,0,4,0,6,0,31,0.0,1026,3,10,143,14,california
2019-01-01 12:00:00,10,1,0.0,8.7,3,26,03:54 AM,02:57 PM,08:00 AM,05:51 PM,-15,6,8,6,13,0,18,0.0,1025,8,10,68,20,california
2019-01-01 15:00:00,10,1,0.0,8.7,3,26,03:54 AM,02:57 PM,08:00 AM,05:51 PM,-12,10,10,10,18,0,20,0.0,1025,10,10,49,12,california
2019-01-01 18:00:00,10,1,0.0,8.7,3,26,03:54 AM,02:57 PM,08:00 AM,05:51 PM,-14,8,9,8,14,2,23,0.0,1024,8,10,114,12,california
2019-01-01 21:00:00,10,1,0.0,8.7,3,26,03:54 AM,02:57 PM,08:00 AM,05:51 PM,-17,5,8,5,10,30,27,0.0,1024,5,10,238,11,california
2019-01-02 00:00:00,10,2,0.0,8.7,3,19,04:54 AM,03:35 PM,08:00 AM,05:52 PM,-18,-1,2,-1,8,53,29,0.0,1025,0,10,240,8,california
2019-01-02 03:00:00,10,2,0.0,8.7,3,19,04:54 AM,03:35 PM,08:00 AM,05:52 PM,-18,-6,-3,-6,3,3,33,0.0,1025,-4,10,294,6,california
2019-01-02 06:00:00,10,2,0.0,8.7,3,19,04:54 AM,03:35 PM,08:00 AM,05:52 PM,-16,-2,-2,-2,2,2,32,0.0,1026,-3,10,274,4,california
2019-01-02 09:00:00,10,2,0.0,8.7,3,19,04:54 AM,03:35 PM,08:00 AM,05:52 PM,-12,5,5,5,3,1,28,0.0,1027,4,10,149,8,california
2019-01-02 12:00:00,10,2,0.0,8.7,3,19,04:54 AM,03:35 PM,08:00 AM,05:52 PM,-13,10,10,10,5,0,21,0.0,1026,9,10,94,8,california
2019-01-02 15:00:00,10,2,0.0,8.7,3,19,04:54 AM,03:35 PM,08:00 AM,05:52 PM,-17,10,10,10,9,0,14,0.0,1027,10,10,110,7,california
2019-01-02 18:00:00,10,2,0.0,8.7,3,19,04:54 AM,03:35 PM,08:00 AM,05:52 PM,-15,8,9,8,10,0,20,0.0,1026,8,10,201,7,california
2019-01-02 21:00:00,10,2,0.0,8.7,3,19,04:54 AM,03:35 PM,08:00 AM,05:52 PM,-16,6,9,6,9,0,29,0.0,1026,6,10,277,5,california
2019-01-03 00:00:00,13,-2,0.0,8.7,3,11,05:52 AM,04:16 PM,08:01 AM,05:53 PM,-15,2,5,2,8,0,35,0.0,1026,2,10,325,3,california
2019-01-03 03:00:00,13,-2,0.0,8.7,3,11,05:52 AM,04:16 PM,08:01 AM,05:53 PM,-14,-2,-2,-2,7,0,40,0.0,1026,-3,10,241,2,california
2019-01-03 06:00:00,13,-2,0.0,8.7,3,11,05:52 AM,04:16 PM,08:01 AM,05:53 PM,-13,-2,-2,-2,6,4,43,0.0,1026,-3,10,28,2,california
2019-01-03 09:00:00,13,-2,0.0,8.7,3,11,05:52 AM,04:16 PM,08:01 AM,05:53 PM,-12,3,3,3,5,8,35,0.0,1026,2,10,26,6,california
2019-01-03 12:00:00,13,-2,0.0,8.7,3,11,05:52 AM,04:16 PM,08:01 AM,05:53 PM,-9,11,11,11,8,4,23,0.0,1023,11,10,63,13,california
2019-01-03 15:00:00,13,-2,0.0,8.7,3,11,05:52 AM,04:16 PM,08:01 AM,05:53 PM,-8,13,13,13,9,0,22,0.0,1020,13,10,100,11,california
2019-01-03 18:00:00,13,-2,0.0,8.7,3,11,05:52 AM,04:16 PM,08:01 AM,05:53 PM,-8,10,11,10,5,0,28,0.0,1020,10,10,154,8,california
