date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,9,7,0.0,1.9,3,26,04:40 AM,02:43 PM,09:41 AM,05:17 PM,6,4,8,4,31,14,88,0.0,1035,8,10,270,18,dublin
2019-01-01 03:00:00,9,7,0.0,1.9,3,26,04:40 AM,02:43 PM,09:41 AM,05:17 PM,6,5,8,5,32,21,89,0.0,1035,8,10,277,19,dublin
2019-01-01 06:00:00,9,7,0.0,1.9,3,26,04:40 AM,02:43 PM,09:41 AM,05:17 PM,6,4,7,4,28,37,91,0.0,1036,7,10,283,17,dublin
2019-01-01 09:00:00,9,7,0.0,1.9,3,26,04:40 AM,02:43 PM,09:41 AM,05:17 PM,6,5,7,5,25,88,93,0.0,1037,7,10,285,15,dublin
2019-01-01 12:00:00,9,7,0.0,1.9,3,26,04:40 AM,02:43 PM,09:41 AM,05:17 PM,8,7,9,7,15,77,92,0.0,1038,9,10,313,11,dublin
2019-01-01 15:00:00,9,7,0.0,1.9,3,26,04:40 AM,02:43 PM,09:41 AM,05:17 PM,8,8,9,8,13,89,91,0.0,1039,9,10,19,10,dublin
2019-01-01 18:00:00,9,7,0.0,1.9,3,26,04:40 AM,02:43 PM,09:41 AM,05:17 PM,6,7,9,7,14,51,84,0.1,1040,9,10,46,10,dublin
2019-01-01 21:00:00,9,7,0.0,1.9,3,26,04:40 AM,02:43 PM,09:41 AM,05:17 PM,4,5,7,5,15,6,83,0.0,1042,7,10,53,9,dublin
2019-01-02 00:00:00,8,6,0.0,1.9,3,19,05:52 AM,03:09 PM,09:40 AM,05:18 PM,4,5,6,5,13,34,83,0.0,1043,6,10,84,8,dublin
2019-01-02 03:00:00,8,6,0.0,1.9,3,19,05:52 AM,03:09 PM,09:40 AM,05:18 PM,3,5,6,5,9,34,80,0.0,1043,6,10,95,5,dublin
2019-01-02 06:00:00,8,6,0.0,1.9,3,19,05:52 AM,03:09 PM,09:40 AM,05:18 PM,3,4,6,4,13,50,81,0.0,1043,6,10,132,8,dublin
2019-01-02 09:00:00,8,6,0.0,1.9,3,19,05:52 AM,03:09 PM,09:40 AM,05:18 PM,3,3,6,3,20,76,83,0.0,1044,6,10,164,12,dublin
2019-01-02 12:00:00,8,6,0.0,1.9,3,19,05:52 AM,03:09 PM,09:40 AM,05:18 PM,4,5,8,5,18,72,78,0.0,1044,8,10,169,14,dublin
