date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,18,15,0.0,8.3,5,26,03:58 AM,03:03 PM,08:11 AM,06:01 PM,18,14,17,14,54,53,96,0.0,1019,14,10,205,18,hatteras
2019-01-01 03:00:00,18,15,0.0,8.3,5,26,03:58 AM,03:03 PM,08:11 AM,06:01 PM,18,19,19,19,56,63,95,0.0,1018,18,10,216,21,hatteras
2019-01-01 06:00:00,18,15,0.0,8.3,5,26,03:58 AM,03:03 PM,08:11 AM,06:01 PM,18,18,18,18,62,69,98,0.0,1017,17,10,229,22,hatteras
2019-01-01 09:00:00,18,15,0.0,8.3,5,26,03:58 AM,03:03 PM,08:11 AM,06:01 PM,17,18,18,18,60,54,95,0.0,1018,18,10,234,20,hatteras
2019-01-01 12:00:00,18,15,0.0,8.3,5,26,03:58 AM,03:03 PM,08:11 AM,06:01 PM,17,19,19,19,57,37,87,0.0,1018,18,10,240,18,hatteras
2019-01-01 15:00:00,18,15,0.0,8.3,5,26,03:58 AM,03:03 PM,08:11 AM,06:01 PM,16,18,18,18,49,75,88,0.1,1016,17,7,273,16,hatteras
2019-01-01 18:00:00,18,15,0.0,8.3,5,26,03:58 AM,03:03 PM,08:11 AM,06:01 PM,15,16,16,16,36,100,97,0.1,1013,15,5,222,17,hatteras
2019-01-01 21:00:00,18,15,0.0,8.3,5,26,03:58 AM,03:03 PM,08:11 AM,06:01 PM,15,15,15,15,39,94,100,0.0,1015,14,10,27,13,hatteras
2019-01-02 00:00:00,12,11,0.0,5.0,3,19,04:58 AM,03:41 PM,08:11 AM,06:02 PM,14,15,15,15,51,85,95,0.0,1018,14,10,41,11,hatteras
2019-01-02 03:00:00,12,11,0.0,5.0,3,19,04:58 AM,03:41 PM,08:11 AM,06:02 PM,12,14,14,14,52,95,88,0.2,1018,13,7,42,12,hatteras
2019-01-02 06:00:00,12,11,0.0,5.0,3,19,04:58 AM,03:41 PM,08:11 AM,06:02 PM,11,13,13,13,48,100,88,0.8,1017,12,4,43,13,hatteras
2019-01-02 09:00:00,12,11,0.0,5.0,3,19,04:58 AM,03:41 PM,08:11 AM,06:02 PM,10,13,13,13,51,100,80,1.2,1022,12,9,41,14,hatteras
2019-01-02 12:00:00,12,11,0.0,5.0,3,19,04:58 AM,03:41 PM,08:11 AM,06:02 PM,9,13,13,13,55,99,79,0.8,1024,12,7,46,17,hatteras
2019-01-02 15:00:00,12,11,0.0,5.0,3,19,04:58 AM,03:41 PM,08:11 AM,06:02 PM,10,13,13,13,50,97,80,0.2,1021,12,5,53,14,hatteras
2019-01-02 18:00:00,12,11,0.0,5.0,3,19,04:58 AM,03:41 PM,08:11 AM,06:02 PM,9,12,12,12,41,100,82,0.0,1020,11,10,64,12,hatteras
2019-01-02 21:00:00,12,11,0.0,5.0,3,19,04:58 AM,03:41 PM,08:11 AM,06:02 PM,8,9,10,9,33,99,84,0.0,1021,8,10,86,12,hatteras
2019-01-03 00:00:00,13,12,0.0,5.0,3,11,05:56 AM,04:22 PM,08:11 AM,06:03 PM,10,7,9,7,35,98,88,0.1,1020,7,10,173,8,hatteras
2019-01-03 03:00:00,13,12,0.0,5.0,3,11,05:56 AM,04:22 PM,08:11 AM,06:03 PM,12,13,13,13,41,100,94,0.1,1017,12,10,263,7,hatteras
2019-01-03 06:00:00,13,12,0.0,5.0,3,11,05:56 AM,04:22 PM,08:11 AM,06:03 PM,11,13,13,13,39,100,89,0.2,1014,13,10,296,10,hatteras
2019-01-03 09:00:00,13,12,0.0,5.0,3,11,05:56 AM,04:22 PM,08:11 AM,06:03 PM,12,14,14,14,28,100,88,0.1,1015,13,7,306,12,hatteras
2019-01-03 12:00:00,13,12,0.0,5.0,3,11,05:56 AM,04:22 PM,08:11 AM,06:03 PM,11,14,14,14,33,100,87,0.3,1017,13,5,331,9,hatteras
2019-01-03 15:00:00,13,12,0.0,5.0,3,11,05:56 AM,04:22 PM,08:11 AM,06:03 PM,11,14,14,14,31,100,88,0.1,1017,13,7,350,8,hatteras
