date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,-1,-3,1.4,5.1,1,26,04:15 AM,02:51 PM,08:41 AM,05:38 PM,-1,-4,1,-4,42,100,87,6.6,1007,0,6,147,17,k7l4v4
2019-01-01 03:00:00,-1,-3,1.4,5.1,1,26,04:15 AM,02:51 PM,08:41 AM,05:38 PM,3,-1,4,-1,56,100,99,7.0,997,3,6,208,24,k7l4v4
2019-01-01 06:00:00,-1,-3,1.4,5.1,1,26,04:15 AM,02:51 PM,08:41 AM,05:38 PM,1,-2,3,-2,43,91,92,1.6,1000,2,8,284,22,k7l4v4
2019-01-01 09:00:00,-1,-3,1.4,5.1,1,26,04:15 AM,02:51 PM,08:41 AM,05:38 PM,-4,-7,-1,-7,35,82,82,1.1,1008,-2,7,319,18,k7l4v4
2019-01-01 12:00:00,-1,-3,1.4,5.1,1,26,04:15 AM,02:51 PM,08:41 AM,05:38 PM,-4,-5,-0,-5,31,74,78,0.0,1011,-1,10,330,14,k7l4v4
2019-01-01 15:00:00,-1,-3,1.4,5.1,1,26,04:15 AM,02:51 PM,08:41 AM,05:38 PM,-5,-6,-1,-6,24,22,76,0.0,1014,-2,10,340,14,k7l4v4
2019-01-01 18:00:00,-1,-3,1.4,5.1,1,26,04:15 AM,02:51 PM,08:41 AM,05:38 PM,-8,-7,-2,-7,23,15,73,0.0,1018,-4,10,349,14,k7l4v4
2019-01-01 21:00:00,-1,-3,1.4,5.1,1,26,04:15 AM,02:51 PM,08:41 AM,05:38 PM,-15,-8,-4,-8,20,12,58,0.0,1024,-8,10,244,15,k7l4v4
2019-01-02 00:00:00,-8,-14,0.3,8.7,1,19,05:20 AM,03:24 PM,08:41 AM,05:39 PM,-18,-13,-9,-13,15,30,56,0.0,1027,-12,10,18,13,k7l4v4
2019-01-02 03:00:00,-8,-14,0.3,8.7,1,19,05:20 AM,03:24 PM,08:41 AM,05:39 PM,-18,-18,-12,-18,14,55,61,0.0,1028,-13,10,24,11,k7l4v4
2019-01-02 06:00:00,-8,-14,0.3,8.7,1,19,05:20 AM,03:24 PM,08:41 AM,05:39 PM,-18,-19,-13,-19,12,17,65,0.0,1029,-14,10,28,9,k7l4v4
2019-01-02 09:00:00,-8,-14,0.3,8.7,1,19,05:20 AM,03:24 PM,08:41 AM,05:39 PM,-17,-17,-12,-17,10,0,63,0.0,1026,-13,10,46,10,k7l4v4
2019-01-02 12:00:00,-8,-14,0.3,8.7,1,19,05:20 AM,03:24 PM,08:41 AM,05:39 PM,-15,-15,-8,-15,8,15,56,0.0,1021,-9,10,66,14,k7l4v4
2019-01-02 15:00:00,-8,-14,0.3,8.7,1,19,05:20 AM,03:24 PM,08:41 AM,05:39 PM,-15,-12,-7,-12,9,55,55,0.0,1022,-8,10,84,10,k7l4v4
2019-01-02 18:00:00,-8,-14,0.3,8.7,1,19,05:20 AM,03:24 PM,08:41 AM,05:39 PM,-14,-12,-8,-12,13,78,62,0.0,1024,-9,10,89,5,k7l4v4
2019-01-02 21:00:00,-8,-14,0.3,8.7,1,19,05:20 AM,03:24 PM,08:41 AM,05:39 PM,-14,-14,-10,-14,15,90,66,0.4,1021,-12,7,82,8,k7l4v4
2019-01-03 00:00:00,-1,-4,4.2,5.1,1,11,06:22 AM,04:01 PM,08:41 AM,05:40 PM,-10,-13,-9,-13,17,100,74,1.8,1017,-12,2,59,9,k7l4v4
2019-01-03 03:00:00,-1,-4,4.2,5.1,1,11,06:22 AM,04:01 PM,08:41 AM,05:40 PM,-5,-7,-3,-7,18,100,83,2.1,1014,-4,2,40,10,k7l4v4
2019-01-03 06:00:00,-1,-4,4.2,5.1,1,11,06:22 AM,04:01 PM,08:41 AM,05:40 PM,-7,-8,-4,-8,17,98,76,1.0,1017,-5,2,137,12,k7l4v4
2019-01-03 09:00:00,-1,-4,4.2,5.1,1,11,06:22 AM,04:01 PM,08:41 AM,05:40 PM,-6,-6,-2,-6,15,82,75,0.9,1016,-3,5,310,12,k7l4v4
