date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,15,13,0.0,7.0,4,26,03:43 AM,02:52 PM,08:12 AM,05:59 PM,6,10,13,10,59,55,62,0.5,1021,13,10,342,46,malta
2019-01-01 03:00:00,15,13,0.0,7.0,4,26,03:43 AM,02:52 PM,08:12 AM,05:59 PM,6,11,14,11,54,78,59,0.4,1019,14,9,343,45,malta
2019-01-01 06:00:00,15,13,0.0,7.0,4,26,03:43 AM,02:52 PM,08:12 AM,05:59 PM,5,11,14,11,45,81,56,0.3,1018,14,10,355,39,malta
2019-01-01 09:00:00,15,13,0.0,7.0,4,26,03:43 AM,02:52 PM,08:12 AM,05:59 PM,5,11,14,11,36,28,56,0.1,1019,14,10,127,31,malta
2019-01-01 12:00:00,15,13,0.0,7.0,4,26,03:43 AM,02:52 PM,08:12 AM,05:59 PM,5,11,14,11,33,42,57,0.0,1020,14,10,6,28,malta
2019-01-01 15:00:00,15,13,0.0,7.0,4,26,03:43 AM,02:52 PM,08:12 AM,05:59 PM,5,13,14,13,29,71,54,0.0,1021,14,10,240,24,malta
2019-01-01 18:00:00,15,13,0.0,7.0,4,26,03:43 AM,02:52 PM,08:12 AM,05:59 PM,5,13,14,13,28,68,52,0.1,1022,14,10,350,21,malta
2019-01-01 21:00:00,15,13,0.0,7.0,4,26,03:43 AM,02:52 PM,08:12 AM,05:59 PM,5,13,14,13,30,25,55,0.0,1023,14,10,344,21,malta
2019-01-02 00:00:00,16,14,0.0,5.3,5,19,04:43 AM,03:29 PM,08:12 AM,05:59 PM,6,12,14,12,30,4,58,0.0,1023,14,10,336,21,malta
2019-01-02 03:00:00,16,14,0.0,5.3,5,19,04:43 AM,03:29 PM,08:12 AM,05:59 PM,6,12,14,12,28,7,61,0.0,1021,14,10,318,23,malta
2019-01-02 06:00:00,16,14,0.0,5.3,5,19,04:43 AM,03:29 PM,08:12 AM,05:59 PM,7,12,14,12,32,4,64,0.0,1019,14,10,309,27,malta
2019-01-02 09:00:00,16,14,0.0,5.3,5,19,04:43 AM,03:29 PM,08:12 AM,05:59 PM,9,13,15,13,40,49,69,0.0,1019,15,10,307,32,malta
2019-01-02 12:00:00,16,14,0.0,5.3,5,19,04:43 AM,03:29 PM,08:12 AM,05:59 PM,11,15,16,15,50,84,73,0.1,1017,16,10,302,40,malta
2019-01-02 15:00:00,16,14,0.0,5.3,5,19,04:43 AM,03:29 PM,08:12 AM,05:59 PM,11,16,16,16,57,97,73,0.4,1015,16,10,295,45,malta
2019-01-02 18:00:00,16,14,0.0,5.3,5,19,04:43 AM,03:29 PM,08:12 AM,05:59 PM,10,16,16,16,71,95,71,1.1,1014,16,10,293,49,malta
2019-01-02 21:00:00,16,14,0.0,5.3,5,19,04:43 AM,03:29 PM,08:12 AM,05:59 PM,10,13,15,13,72,83,72,0.7,1013,15,9,302,49,malta
2019-01-03 00:00:00,14,12,0.0,9.9,3,11,05:43 AM,04:09 PM,08:12 AM,06:00 PM,9,12,15,12,73,76,70,0.4,1013,15,9,314,50,malta
2019-01-03 03:00:00,14,12,0.0,9.9,3,11,05:43 AM,04:09 PM,08:12 AM,06:00 PM,7,12,15,12,71,84,61,0.2,1013,15,10,315,57,malta
2019-01-03 06:00:00,14,12,0.0,9.9,3,11,05:43 AM,04:09 PM,08:12 AM,06:00 PM,6,11,14,11,63,82,58,0.1,1014,14,10,325,54,malta
2019-01-03 09:00:00,14,12,0.0,9.9,3,11,05:43 AM,04:09 PM,08:12 AM,06:00 PM,5,10,13,10,57,29,56,0.0,1017,13,10,341,49,malta
2019-01-03 12:00:00,14,12,0.0,9.9,3,11,05:43 AM,04:09 PM,08:12 AM,06:00 PM,4,9,13,9,50,17,55,0.0,1019,13,10,341,44,malta
2019-01-03 15:00:00,14,12,0.0,9.9,3,11,05:43 AM,04:09 PM,08:12 AM,06:00 PM,3,9,12,9,47,47,54,0.0,1020,12,10,340,41,malta
2019-01-03 18:00:00,14,12,0.0,9.9,3,11,05:43 AM,04:09 PM,08:12 AM,06:00 PM,2,7,11,7,53,53,55,0.0,1021,11,10,346,43,malta
2019-01-03 21:00:00,14,12,0.0,9.9,3,11,05:43 AM,04:09 PM,08:12 AM,06:00 PM,2,6,10,6,55,44,58,0.0,1023,10,10,351,44,malta
2019-01-04 00:00:00,11,10,0.0,6.6,4,4,06:39 AM,04:52 PM,08:13 AM,06:01 PM,2,6,10,6,50,50,59,0.0,1024,10,10,351,42,malta
2019-01-04 03:00:00,11,10,0.0,6.6,4,4,06:39 AM,04:52 PM,08:13 AM,06:01 PM,3,7,11,7,41,76,58,0.3,1023,11,10,346,35,malta
2019-01-04 06:00:00,11,10,0.0,6.6,4,4,06:39 AM,04:52 PM,08:13 AM,06:01 PM,3,7,11,7,44,82,57,0.5,1023,11,9,349,36,malta
2019-01-04 09:00:00,11,10,0.0,6.6,4,4,06:39 AM,04:52 PM,08:13 AM,06:01 PM,1,7,10,7,40,52,51,0.2,1024,10,10,351,35,malta
2019-01-04 12:00:00,11,10,0.0,6.6,4,4,06:39 AM,04:52 PM,08:13 AM,06:01 PM,-0,7,10,7,33,78,48,0.0,1025,10,10,335,28,malta
2019-01-04 15:00:00,11,10,0.0,6.6,4,4,06:39 AM,04:52 PM,08:13 AM,06:01 PM,1,7,11,7,47,85,53,0.7,1025,11,9,321,37,malta
2019-01-04 18:00:00,11,10,0.0,6.6,4,4,06:39 AM,04:52 PM,08:13 AM,06:01 PM,1,6,10,6,56,75,54,1.3,1025,10,10,330,41,malta
2019-01-04 21:00:00,11,10,0.0,6.6,4,4,06:39 AM,04:52 PM,08:13 AM,06:01 PM,0,6,10,6,46,89,52,0.5,1025,10,10,332,35,malta
2019-01-05 00:00:00,12,10,0.0,6.6,3,0,07:34 AM,05:40 PM,08:13 AM,06:02 PM,1,6,10,6,41,89,55,0.3,1024,10,9,328,33,malta
