date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,32,26,0.0,8.8,6,26,03:01 AM,03:22 PM,07:06 AM,07:10 PM,23,30,30,27,23,59,81,1.4,1012,27,10,347,15,singapore
2019-01-01 03:00:00,32,26,0.0,8.8,6,26,03:01 AM,03:22 PM,07:06 AM,07:10 PM,23,29,29,26,22,55,82,1.0,1011,26,9,333,14,singapore
2019-01-01 06:00:00,32,26,0.0,8.8,6,26,03:01 AM,03:22 PM,07:06 AM,07:10 PM,23,29,29,26,19,20,81,0.0,1011,26,10,314,13,singapore
2019-01-01 09:00:00,32,26,0.0,8.8,6,26,03:01 AM,03:22 PM,07:06 AM,07:10 PM,23,30,30,27,18,16,76,0.0,1012,27,10,304,13,singapore
2019-01-01 12:00:00,32,26,0.0,8.8,6,26,03:01 AM,03:22 PM,07:06 AM,07:10 PM,22,34,34,30,14,32,62,0.0,1012,30,10,319,12,singapore
2019-01-01 15:00:00,32,26,0.0,8.8,6,26,03:01 AM,03:22 PM,07:06 AM,07:10 PM,23,36,36,32,14,70,60,0.0,1011,32,10,312,10,singapore
2019-01-01 18:00:00,32,26,0.0,8.8,6,26,03:01 AM,03:22 PM,07:06 AM,07:10 PM,24,35,35,30,15,82,69,0.2,1010,30,10,297,10,singapore
2019-01-01 21:00:00,32,26,0.0,8.8,6,26,03:01 AM,03:22 PM,07:06 AM,07:10 PM,24,32,32,28,16,84,77,0.7,1011,28,9,301,10,singapore
2019-01-02 00:00:00,31,27,0.0,10.2,6,19,03:49 AM,04:09 PM,07:07 AM,07:10 PM,23,31,31,27,17,84,79,0.7,1011,27,9,310,12,singapore
2019-01-02 03:00:00,31,27,0.0,10.2,6,19,03:49 AM,04:09 PM,07:07 AM,07:10 PM,23,30,30,27,22,81,81,0.6,1010,27,9,292,15,singapore
2019-01-02 06:00:00,31,27,0.0,10.2,6,19,03:49 AM,04:09 PM,07:07 AM,07:10 PM,23,30,30,27,28,84,82,0.8,1010,27,9,291,18,singapore
2019-01-02 09:00:00,31,27,0.0,10.2,6,19,03:49 AM,04:09 PM,07:07 AM,07:10 PM,23,31,31,28,24,60,76,1.3,1011,28,10,295,17,singapore
2019-01-02 12:00:00,31,27,0.0,10.2,6,19,03:49 AM,04:09 PM,07:07 AM,07:10 PM,22,33,33,30,22,47,62,0.0,1012,30,10,310,17,singapore
2019-01-02 15:00:00,31,27,0.0,10.2,6,19,03:49 AM,04:09 PM,07:07 AM,07:10 PM,23,35,35,31,22,78,63,0.0,1010,31,10,290,15,singapore
2019-01-02 18:00:00,31,27,0.0,10.2,6,19,03:49 AM,04:09 PM,07:07 AM,07:10 PM,24,34,34,29,24,59,72,0.4,1009,29,10,270,16,singapore
2019-01-02 21:00:00,31,27,0.0,10.2,6,19,03:49 AM,04:09 PM,07:07 AM,07:10 PM,24,32,32,28,30,78,81,0.7,1010,28,9,275,19,singapore
2019-01-03 00:00:00,31,27,0.0,11.6,6,11,04:38 AM,04:58 PM,07:07 AM,07:11 PM,24,31,31,27,29,80,83,0.5,1011,27,9,279,19,singapore
2019-01-03 03:00:00,31,27,0.0,11.6,6,11,04:38 AM,04:58 PM,07:07 AM,07:11 PM,24,31,31,27,31,63,84,0.7,1010,27,9,274,20,singapore
