date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,19,14,0.0,9.8,4,26,04:05 AM,03:04 PM,08:21 AM,06:00 PM,12,7,9,7,37,100,100,0.2,1010,7,2,207,4,williamsburg
2019-01-01 03:00:00,19,14,0.0,9.8,4,26,04:05 AM,03:04 PM,08:21 AM,06:00 PM,13,13,13,13,41,100,100,0.2,1009,12,5,223,5,williamsburg
2019-01-01 06:00:00,19,14,0.0,9.8,4,26,04:05 AM,03:04 PM,08:21 AM,06:00 PM,14,14,14,14,41,100,100,0.1,1010,13,10,236,5,williamsburg
2019-01-01 09:00:00,19,14,0.0,9.8,4,26,04:05 AM,03:04 PM,08:21 AM,06:00 PM,15,17,17,17,36,85,92,0.1,1013,16,10,259,11,williamsburg
2019-01-01 12:00:00,19,14,0.0,9.8,4,26,04:05 AM,03:04 PM,08:21 AM,06:00 PM,14,20,20,20,29,53,68,0.0,1016,19,10,290,16,williamsburg
2019-01-01 15:00:00,19,14,0.0,9.8,4,26,04:05 AM,03:04 PM,08:21 AM,06:00 PM,11,19,19,19,21,55,61,0.0,1017,18,10,299,10,williamsburg
2019-01-01 18:00:00,19,14,0.0,9.8,4,26,04:05 AM,03:04 PM,08:21 AM,06:00 PM,12,15,15,15,14,49,77,0.0,1017,14,10,205,3,williamsburg
2019-01-01 21:00:00,19,14,0.0,9.8,4,26,04:05 AM,03:04 PM,08:21 AM,06:00 PM,11,12,12,12,15,19,86,0.0,1018,12,10,8,1,williamsburg
2019-01-02 00:00:00,9,5,0.0,8.3,3,19,05:06 AM,03:41 PM,08:21 AM,06:01 PM,9,10,10,10,12,31,89,0.0,1017,10,10,27,1,williamsburg
2019-01-02 03:00:00,9,5,0.0,8.3,3,19,05:06 AM,03:41 PM,08:21 AM,06:01 PM,6,9,9,9,13,19,84,0.0,1019,8,10,41,2,williamsburg
2019-01-02 06:00:00,9,5,0.0,8.3,3,19,05:06 AM,03:41 PM,08:21 AM,06:01 PM,4,7,7,7,14,22,79,0.0,1022,7,10,51,3,williamsburg
2019-01-02 09:00:00,9,5,0.0,8.3,3,19,05:06 AM,03:41 PM,08:21 AM,06:01 PM,3,7,7,7,14,32,77,0.0,1026,7,10,57,4,williamsburg
2019-01-02 12:00:00,9,5,0.0,8.3,3,19,05:06 AM,03:41 PM,08:21 AM,06:01 PM,3,10,10,10,15,48,63,0.0,1025,9,10,72,4,williamsburg
2019-01-02 15:00:00,9,5,0.0,8.3,3,19,05:06 AM,03:41 PM,08:21 AM,06:01 PM,3,10,10,10,14,70,65,0.0,1020,9,10,89,4,williamsburg
2019-01-02 18:00:00,9,5,0.0,8.3,3,19,05:06 AM,03:41 PM,08:21 AM,06:01 PM,3,8,8,8,15,98,73,0.0,1021,8,10,104,0,williamsburg
2019-01-02 21:00:00,9,5,0.0,8.3,3,19,05:06 AM,03:41 PM,08:21 AM,06:01 PM,3,7,7,7,13,96,77,0.1,1022,6,7,134,0,williamsburg
